Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9153282122905028
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.838163407821229
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.8079608938547486
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.7981843575418994
trtr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.9155027932960894
trtr,GANBLR,10,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8463687150837989
tstr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.857018156424581
tstr,GANBLR,10,1,credit_risk,svm,accuracy,0.8088337988826816
trtr,GANBLR,10,2,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,2,credit_risk,random_forest,accuracy,0.915677374301676
trtr,GANBLR,10,2,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,2,credit_risk,adaboost,accuracy,0.8571927374301676
tstr,GANBLR,10,2,credit_risk,random_forest,accuracy,0.88268156424581
tstr,GANBLR,10,2,credit_risk,svm,accuracy,0.8488128491620112
trtr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.9153282122905028
trtr,GANBLR,25,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8440991620111732
tstr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.8058659217877095
tstr,GANBLR,25,0,credit_risk,svm,accuracy,0.7922486033519553
trtr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.9155027932960894
trtr,GANBLR,25,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8383379888268156
tstr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.8594622905027933
tstr,GANBLR,25,1,credit_risk,svm,accuracy,0.8233240223463687
trtr,GANBLR,25,2,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,2,credit_risk,random_forest,accuracy,0.9141061452513967
trtr,GANBLR,25,2,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,2,credit_risk,adaboost,accuracy,0.8610335195530726
tstr,GANBLR,25,2,credit_risk,random_forest,accuracy,0.8786662011173184
tstr,GANBLR,25,2,credit_risk,svm,accuracy,0.8460195530726257
trtr,GANBLR,50,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,50,0,credit_risk,random_forest,accuracy,0.9155027932960894
trtr,GANBLR,50,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,50,0,credit_risk,adaboost,accuracy,0.8214036312849162
tstr,GANBLR,50,0,credit_risk,random_forest,accuracy,0.8346717877094972
tstr,GANBLR,50,0,credit_risk,svm,accuracy,0.799231843575419
trtr,GANBLR,50,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,50,1,credit_risk,random_forest,accuracy,0.91393156424581
trtr,GANBLR,50,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,50,1,credit_risk,adaboost,accuracy,0.8158170391061452
tstr,GANBLR,50,1,credit_risk,random_forest,accuracy,0.8395600558659218
