Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.9659829914957478
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9289644822411206
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,0,superstore,sdv_eval,accuracy,0.893293153560581
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9142807262569832
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8477653631284916
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.8296089385474861
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.8046438547486033
sdv_eval,GANBLR,10,0,credit_risk,sdv_eval,accuracy,0.7923245380426694
trtr,GANBLR,10,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,1,superstore,random_forest,accuracy,0.9659829914957478
trtr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,random_forest,accuracy,0.9304652326163082
tstr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,1,superstore,sdv_eval,accuracy,0.912341312170991
trtr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.915677374301676
trtr,GANBLR,10,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8516061452513967
tstr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.8498603351955307
tstr,GANBLR,10,1,credit_risk,svm,accuracy,0.8084846368715084
sdv_eval,GANBLR,10,1,credit_risk,sdv_eval,accuracy,0.8336765632243501
trtr,GANBLR,25,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,25,0,superstore,random_forest,accuracy,0.9644822411205602
trtr,GANBLR,25,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,25,0,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,25,0,superstore,random_forest,accuracy,0.9469734867433717
tstr,GANBLR,25,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,25,0,superstore,sdv_eval,accuracy,0.8889143434502478
trtr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.9151536312849162
trtr,GANBLR,25,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8348463687150838
tstr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.8285614525139665
tstr,GANBLR,25,0,credit_risk,svm,accuracy,0.8032472067039106
sdv_eval,GANBLR,25,0,credit_risk,sdv_eval,accuracy,0.7921108584029843
trtr,GANBLR,25,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,25,1,superstore,random_forest,accuracy,0.9634817408704353
trtr,GANBLR,25,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,25,1,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,25,1,superstore,random_forest,accuracy,0.9479739869934968
tstr,GANBLR,25,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,25,1,superstore,sdv_eval,accuracy,0.9266391538614931
trtr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.9146298882681564
trtr,GANBLR,25,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8400837988826816
tstr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.8547486033519553
tstr,GANBLR,25,1,credit_risk,svm,accuracy,0.8158170391061452
sdv_eval,GANBLR,25,1,credit_risk,sdv_eval,accuracy,0.8304949897568761
trtr,GANBLR,50,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,50,0,superstore,random_forest,accuracy,0.9659829914957478
trtr,GANBLR,50,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,50,0,superstore,adaboost,accuracy,0.9324662331165583
tstr,GANBLR,50,0,superstore,random_forest,accuracy,0.9499749874937469
tstr,GANBLR,50,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,50,0,superstore,sdv_eval,accuracy,0.8895314347735337
trtr,GANBLR,50,0,credit_risk,adaboost,accuracy,0.8758729050279329
