TIME: 02:54:19EPOCHS: 100, K: 1, GENERATOR LOSS: 2.159, GENERATOR ACCURACY: 0.931, DISCRIMINATOR LOSS: 4.098, DISCRIMINATOR ACCURACY: 0.478, SHAPE: (9994, 11) 
TIME: 02:54:37EPOCHS: 100, K: 1, GENERATOR LOSS: 3.431, GENERATOR ACCURACY: 0.931, DISCRIMINATOR LOSS: 6.363, DISCRIMINATOR ACCURACY: 0.521, SHAPE: (9994, 11) 
TIME: 02:54:55EPOCHS: 100, K: 1, GENERATOR LOSS: 1.652, GENERATOR ACCURACY: 0.933, DISCRIMINATOR LOSS: 2.779, DISCRIMINATOR ACCURACY: 0.560, SHAPE: (9994, 11) 
TIME: 02:55:13EPOCHS: 100, K: 1, GENERATOR LOSS: 1.525, GENERATOR ACCURACY: 0.938, DISCRIMINATOR LOSS: 5.050, DISCRIMINATOR ACCURACY: 0.500, SHAPE: (9994, 11) 
TIME: 02:55:32EPOCHS: 100, K: 1, GENERATOR LOSS: 1.855, GENERATOR ACCURACY: 0.948, DISCRIMINATOR LOSS: 4.978, DISCRIMINATOR ACCURACY: 0.493, SHAPE: (9994, 11) 
TIME: 02:55:50EPOCHS: 100, K: 1, GENERATOR LOSS: 1.980, GENERATOR ACCURACY: 0.957, DISCRIMINATOR LOSS: 7.061, DISCRIMINATOR ACCURACY: 0.559, SHAPE: (9994, 11) 
TIME: 02:56:08EPOCHS: 100, K: 1, GENERATOR LOSS: 1.165, GENERATOR ACCURACY: 0.964, DISCRIMINATOR LOSS: 3.920, DISCRIMINATOR ACCURACY: 0.491, SHAPE: (9994, 11) 
TIME: 02:56:27EPOCHS: 100, K: 1, GENERATOR LOSS: 2.738, GENERATOR ACCURACY: 0.967, DISCRIMINATOR LOSS: 7.867, DISCRIMINATOR ACCURACY: 0.494, SHAPE: (9994, 11) 
TIME: 02:56:45EPOCHS: 100, K: 1, GENERATOR LOSS: inf, GENERATOR ACCURACY: 0.970, DISCRIMINATOR LOSS: 7.739, DISCRIMINATOR ACCURACY: 0.528, SHAPE: (9994, 11) 
TIME: 02:57:03EPOCHS: 100, K: 1, GENERATOR LOSS: 1.485, GENERATOR ACCURACY: 0.973, DISCRIMINATOR LOSS: 2.630, DISCRIMINATOR ACCURACY: 0.513, SHAPE: (9994, 11) 
TIME: 02:57:21EPOCHS: 100, K: 1, GENERATOR LOSS: 1.260, GENERATOR ACCURACY: 0.974, DISCRIMINATOR LOSS: 3.620, DISCRIMINATOR ACCURACY: 0.522, SHAPE: (9994, 11) 
TIME: 02:57:39EPOCHS: 100, K: 1, GENERATOR LOSS: 1.665, GENERATOR ACCURACY: 0.975, DISCRIMINATOR LOSS: 10.718, DISCRIMINATOR ACCURACY: 0.492, SHAPE: (9994, 11) 
TIME: 02:57:58EPOCHS: 100, K: 1, GENERATOR LOSS: 2.613, GENERATOR ACCURACY: 0.975, DISCRIMINATOR LOSS: 9.177, DISCRIMINATOR ACCURACY: 0.503, SHAPE: (9994, 11) 
TIME: 02:58:16EPOCHS: 100, K: 1, GENERATOR LOSS: 1.746, GENERATOR ACCURACY: 0.977, DISCRIMINATOR LOSS: 2.150, DISCRIMINATOR ACCURACY: 0.532, SHAPE: (9994, 11) 
TIME: 02:58:34EPOCHS: 100, K: 1, GENERATOR LOSS: 0.894, GENERATOR ACCURACY: 0.978, DISCRIMINATOR LOSS: 0.746, DISCRIMINATOR ACCURACY: 0.549, SHAPE: (9994, 11) 
TIME: 02:58:52EPOCHS: 100, K: 1, GENERATOR LOSS: 1.543, GENERATOR ACCURACY: 0.978, DISCRIMINATOR LOSS: 5.791, DISCRIMINATOR ACCURACY: 0.535, SHAPE: (9994, 11) 
TIME: 02:59:11EPOCHS: 100, K: 1, GENERATOR LOSS: 0.971, GENERATOR ACCURACY: 0.979, DISCRIMINATOR LOSS: 4.074, DISCRIMINATOR ACCURACY: 0.470, SHAPE: (9994, 11) 
