TIME: 22:00:42; EPOCHS: 10; E: 0; K: 1; GENERATOR LOSS: 1.773; GENERATOR ACCURACY: 0.882; DISCRIMINATOR LOSS: 0.602; DISCRIMINATOR ACCURACY: 0.713; SHAPE: (28638, 11) 
TIME: 22:00:48; EPOCHS: 10; E: 1; K: 1; GENERATOR LOSS: 1.936; GENERATOR ACCURACY: 0.894; DISCRIMINATOR LOSS: 0.458; DISCRIMINATOR ACCURACY: 0.805; SHAPE: (28638, 11) 
TIME: 22:00:54; EPOCHS: 10; E: 2; K: 1; GENERATOR LOSS: 1.622; GENERATOR ACCURACY: 0.898; DISCRIMINATOR LOSS: 0.850; DISCRIMINATOR ACCURACY: 0.671; SHAPE: (28638, 11) 
TIME: 22:01:00; EPOCHS: 10; E: 3; K: 1; GENERATOR LOSS: 1.858; GENERATOR ACCURACY: 0.899; DISCRIMINATOR LOSS: 0.544; DISCRIMINATOR ACCURACY: 0.746; SHAPE: (28638, 11) 
TIME: 22:01:06; EPOCHS: 10; E: 4; K: 1; GENERATOR LOSS: 1.685; GENERATOR ACCURACY: 0.900; DISCRIMINATOR LOSS: 0.733; DISCRIMINATOR ACCURACY: 0.686; SHAPE: (28638, 11) 
TIME: 22:01:13; EPOCHS: 10; E: 5; K: 1; GENERATOR LOSS: 1.825; GENERATOR ACCURACY: 0.899; DISCRIMINATOR LOSS: 0.507; DISCRIMINATOR ACCURACY: 0.788; SHAPE: (28638, 11) 
TIME: 22:01:19; EPOCHS: 10; E: 6; K: 1; GENERATOR LOSS: 1.920; GENERATOR ACCURACY: 0.900; DISCRIMINATOR LOSS: 0.423; DISCRIMINATOR ACCURACY: 0.803; SHAPE: (28638, 11) 
TIME: 22:01:25; EPOCHS: 10; E: 7; K: 1; GENERATOR LOSS: 1.833; GENERATOR ACCURACY: 0.901; DISCRIMINATOR LOSS: 0.492; DISCRIMINATOR ACCURACY: 0.785; SHAPE: (28638, 11) 
TIME: 22:01:31; EPOCHS: 10; E: 8; K: 1; GENERATOR LOSS: 1.432; GENERATOR ACCURACY: 0.900; DISCRIMINATOR LOSS: 1.080; DISCRIMINATOR ACCURACY: 0.515; SHAPE: (28638, 11) 
TIME: 22:01:37; EPOCHS: 10; E: 9; K: 1; GENERATOR LOSS: 1.830; GENERATOR ACCURACY: 0.900; DISCRIMINATOR LOSS: 0.565; DISCRIMINATOR ACCURACY: 0.747; SHAPE: (28638, 11) 
TIME: 08:19:30; EPOCHS: 10; E: 0; K: 1; GENERATOR LOSS: 1.866; GENERATOR ACCURACY: 0.883; DISCRIMINATOR LOSS: 0.506; DISCRIMINATOR ACCURACY: 0.749; SHAPE: (28638, 11) 
TIME: 08:19:36; EPOCHS: 10; E: 1; K: 1; GENERATOR LOSS: 1.941; GENERATOR ACCURACY: 0.894; DISCRIMINATOR LOSS: 0.485; DISCRIMINATOR ACCURACY: 0.783; SHAPE: (28638, 11) 
TIME: 08:19:42; EPOCHS: 10; E: 2; K: 1; GENERATOR LOSS: 1.891; GENERATOR ACCURACY: 0.897; DISCRIMINATOR LOSS: 0.476; DISCRIMINATOR ACCURACY: 0.774; SHAPE: (28638, 11) 
TIME: 08:19:47; EPOCHS: 10; E: 3; K: 1; GENERATOR LOSS: 1.695; GENERATOR ACCURACY: 0.899; DISCRIMINATOR LOSS: 0.601; DISCRIMINATOR ACCURACY: 0.748; SHAPE: (28638, 11) 
TIME: 08:19:54; EPOCHS: 10; E: 4; K: 1; GENERATOR LOSS: 1.906; GENERATOR ACCURACY: 0.899; DISCRIMINATOR LOSS: 0.560; DISCRIMINATOR ACCURACY: 0.757; SHAPE: (28638, 11) 
TIME: 08:19:59; EPOCHS: 10; E: 5; K: 1; GENERATOR LOSS: 1.493; GENERATOR ACCURACY: 0.899; DISCRIMINATOR LOSS: 1.006; DISCRIMINATOR ACCURACY: 0.610; SHAPE: (28638, 11) 
TIME: 08:20:05; EPOCHS: 10; E: 6; K: 1; GENERATOR LOSS: 1.675; GENERATOR ACCURACY: 0.899; DISCRIMINATOR LOSS: 0.557; DISCRIMINATOR ACCURACY: 0.704; SHAPE: (28638, 11) 
TIME: 08:20:11; EPOCHS: 10; E: 7; K: 1; GENERATOR LOSS: 1.704; GENERATOR ACCURACY: 0.901; DISCRIMINATOR LOSS: 0.638; DISCRIMINATOR ACCURACY: 0.729; SHAPE: (28638, 11) 
TIME: 08:20:17; EPOCHS: 10; E: 8; K: 1; GENERATOR LOSS: 1.822; GENERATOR ACCURACY: 0.901; DISCRIMINATOR LOSS: 0.468; DISCRIMINATOR ACCURACY: 0.789; SHAPE: (28638, 11) 
TIME: 08:20:22; EPOCHS: 10; E: 9; K: 1; GENERATOR LOSS: 1.497; GENERATOR ACCURACY: 0.900; DISCRIMINATOR LOSS: 0.911; DISCRIMINATOR ACCURACY: 0.599; SHAPE: (28638, 11) 
