Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9155027932960894
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8421787709497207
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.8034217877094972
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.7917248603351955
sdv_eval,GANBLR,10,0,credit_risk,sdv_eval,quality_score,0.3896351425421193
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9141061452513968
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8477653631284916
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.8149441340782123
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.7957402234636871
sdv_eval,GANBLR,10,0,credit_risk,sdv_eval,quality_score,0.394158561309724
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9137569832402236
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8530027932960894
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.815467877094972
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.7997555865921788
sdv_eval,GANBLR,10,0,credit_risk,sdv_eval,quality_score,0.3916303988978407
trtr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.9162011173184358
trtr,GANBLR,10,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8509078212290503
tstr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.8601606145251397
tstr,GANBLR,10,1,credit_risk,svm,accuracy,0.8086592178770949
sdv_eval,GANBLR,10,1,credit_risk,sdv_eval,quality_score,0.4349656210121326
trtr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.9151536312849162
trtr,GANBLR,10,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8549231843575419
tstr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.8578910614525139
tstr,GANBLR,10,1,credit_risk,svm,accuracy,0.8083100558659218
sdv_eval,GANBLR,10,1,credit_risk,sdv_eval,quality_score,0.4364557475022591
trtr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.9160265363128492
trtr,GANBLR,10,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8502094972067039
tstr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.8615572625698324
tstr,GANBLR,10,1,credit_risk,svm,accuracy,0.8158170391061452
sdv_eval,GANBLR,10,1,credit_risk,sdv_eval,quality_score,0.4387885507071553
trtr,CTGAN,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,10,0,credit_risk,random_forest,accuracy,0.9162011173184358
trtr,CTGAN,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,10,0,credit_risk,adaboost,accuracy,0.7763617318435754
tstr,CTGAN,10,0,credit_risk,random_forest,accuracy,0.7637918994413407
tstr,CTGAN,10,0,credit_risk,svm,accuracy,0.775663407821229
sdv_eval,CTGAN,10,0,credit_risk,sdv_eval,quality_score,0.8607502851688897
trtr,CTGAN,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,10,0,credit_risk,random_forest,accuracy,0.9155027932960894
trtr,CTGAN,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,10,0,credit_risk,adaboost,accuracy,0.775663407821229
tstr,CTGAN,10,0,credit_risk,random_forest,accuracy,0.7693784916201117
tstr,CTGAN,10,0,credit_risk,svm,accuracy,0.775663407821229
sdv_eval,CTGAN,10,0,credit_risk,sdv_eval,quality_score,0.8197777587312471
trtr,CTGAN,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,10,0,credit_risk,random_forest,accuracy,0.915677374301676
trtr,CTGAN,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,10,0,credit_risk,adaboost,accuracy,0.775663407821229
tstr,CTGAN,10,0,credit_risk,random_forest,accuracy,0.7747905027932961
tstr,CTGAN,10,0,credit_risk,svm,accuracy,0.775663407821229
sdv_eval,CTGAN,10,0,credit_risk,sdv_eval,quality_score,0.8479966488687418
trtr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.9134078212290504
trtr,GANBLR,25,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8411312849162011
tstr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.8161662011173184
tstr,GANBLR,25,0,credit_risk,svm,accuracy,0.8084846368715084
sdv_eval,GANBLR,25,0,credit_risk,sdv_eval,quality_score,0.3875595997689021
trtr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.9135824022346368
trtr,GANBLR,25,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8353701117318436
tstr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.8221019553072626
tstr,GANBLR,25,0,credit_risk,svm,accuracy,0.7976606145251397
sdv_eval,GANBLR,25,0,credit_risk,sdv_eval,quality_score,0.3848317133200853
trtr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.9141061452513968
trtr,GANBLR,25,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,0,credit_risk,adaboost,accuracy,0.8367667597765364
tstr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.8165153631284916
tstr,GANBLR,25,0,credit_risk,svm,accuracy,0.789804469273743
sdv_eval,GANBLR,25,0,credit_risk,sdv_eval,quality_score,0.3885111326971792
trtr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.9158519553072626
trtr,GANBLR,25,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8379888268156425
tstr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.8502094972067039
tstr,GANBLR,25,1,credit_risk,svm,accuracy,0.8175628491620112
sdv_eval,GANBLR,25,1,credit_risk,sdv_eval,quality_score,0.4297101012217291
