Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.9654827413706853
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9314657328664332
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,0,superstore,sdv_eval,quality_score,0.8926066514992177
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9142807262569832
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8561452513966481
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.8423533519553073
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.803072625698324
sdv_eval,GANBLR,10,0,credit_risk,sdv_eval,quality_score,0.7935306025047831
trtr,GANBLR,10,0,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,0,mushrooms,adaboost,accuracy,0.9803076923076923
tstr,GANBLR,10,0,mushrooms,random_forest,accuracy,0.8744615384615385
tstr,GANBLR,10,0,mushrooms,svm,accuracy,0.6264615384615385
sdv_eval,GANBLR,10,0,mushrooms,sdv_eval,quality_score,0.8177393777881817
trtr,GANBLR,10,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,1,superstore,random_forest,accuracy,0.9654827413706853
trtr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,adaboost,accuracy,0.5477738869434717
tstr,GANBLR,10,1,superstore,random_forest,accuracy,0.9314657328664332
tstr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,1,superstore,sdv_eval,quality_score,0.9096709097371183
trtr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.9155027932960894
trtr,GANBLR,10,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8549231843575419
tstr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.8488128491620112
tstr,GANBLR,10,1,credit_risk,svm,accuracy,0.8118016759776536
sdv_eval,GANBLR,10,1,credit_risk,sdv_eval,quality_score,0.833948723908554
trtr,GANBLR,10,1,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,1,mushrooms,adaboost,accuracy,0.9612307692307692
tstr,GANBLR,10,1,mushrooms,random_forest,accuracy,0.9846153846153847
tstr,GANBLR,10,1,mushrooms,svm,accuracy,0.955076923076923
sdv_eval,GANBLR,10,1,mushrooms,sdv_eval,quality_score,0.8802414035038333
trtr,GANBLR,25,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,25,0,superstore,random_forest,accuracy,0.9654827413706853
trtr,GANBLR,25,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,25,0,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,25,0,superstore,random_forest,accuracy,0.9419709854927464
tstr,GANBLR,25,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,25,0,superstore,sdv_eval,quality_score,0.8930725808843698
