Event;Model;Epochs;K;Dataset;Test;Metric;Value
sdv_eval;GANBLR;10;0;credit_risk;sdv_eval;quality_score;0.5261618648246554
sdv_eval;GANBLR;10;0;credit_risk;sdv_eval;quality_score;0.520816535351419
sdv_eval;GANBLR;10;0;credit_risk;sdv_eval;quality_score;0.5247384011918895
sdv_eval;GANBLR;10;1;credit_risk;sdv_eval;quality_score;0.5945360000592559
sdv_eval;GANBLR;10;1;credit_risk;sdv_eval;quality_score;0.5934367242506777
sdv_eval;GANBLR;10;1;credit_risk;sdv_eval;quality_score;0.5983299631555445
sdv_eval;CTGAN;10;0;credit_risk;sdv_eval;quality_score;0.8406192926541763
sdv_eval;CTGAN;10;0;credit_risk;sdv_eval;quality_score;0.825972775100682
sdv_eval;CTGAN;10;0;credit_risk;sdv_eval;quality_score;0.8316053897449247
sdv_eval;GANBLR;25;0;credit_risk;sdv_eval;quality_score;0.5184138948673832
sdv_eval;GANBLR;25;0;credit_risk;sdv_eval;quality_score;0.5220620990969828
sdv_eval;GANBLR;25;0;credit_risk;sdv_eval;quality_score;0.5138679906121767
sdv_eval;GANBLR;25;1;credit_risk;sdv_eval;quality_score;0.5831519944892039
sdv_eval;GANBLR;25;1;credit_risk;sdv_eval;quality_score;0.5818511428976545
sdv_eval;GANBLR;25;1;credit_risk;sdv_eval;quality_score;0.581674036615897
sdv_eval;CTGAN;25;0;credit_risk;sdv_eval;quality_score;0.8224236392841043
sdv_eval;CTGAN;25;0;credit_risk;sdv_eval;quality_score;0.8415847136777369
sdv_eval;CTGAN;25;0;credit_risk;sdv_eval;quality_score;0.8220654586933658
sdv_eval;GANBLR;50;0;credit_risk;sdv_eval;quality_score;0.4917047068209859
sdv_eval;GANBLR;50;0;credit_risk;sdv_eval;quality_score;0.502165087920902
sdv_eval;GANBLR;50;0;credit_risk;sdv_eval;quality_score;0.4964384310314543
sdv_eval;GANBLR;50;1;credit_risk;sdv_eval;quality_score;0.5474693774112379
sdv_eval;GANBLR;50;1;credit_risk;sdv_eval;quality_score;0.5532686491988817
sdv_eval;GANBLR;50;1;credit_risk;sdv_eval;quality_score;0.5487624252159136
sdv_eval;CTGAN;50;0;credit_risk;sdv_eval;quality_score;0.8150796144982191
sdv_eval;CTGAN;50;0;credit_risk;sdv_eval;quality_score;0.8135991435410039
sdv_eval;CTGAN;50;0;credit_risk;sdv_eval;quality_score;0.8251654138282045
sdv_eval;GANBLR;100;0;credit_risk;sdv_eval;quality_score;0.4828419857489625
sdv_eval;GANBLR;100;0;credit_risk;sdv_eval;quality_score;0.4806357626125068
sdv_eval;GANBLR;100;0;credit_risk;sdv_eval;quality_score;0.4815656036586269
sdv_eval;GANBLR;100;1;credit_risk;sdv_eval;quality_score;0.4959500991477736
sdv_eval;GANBLR;100;1;credit_risk;sdv_eval;quality_score;0.491393878021785
sdv_eval;GANBLR;100;1;credit_risk;sdv_eval;quality_score;0.4916946544853522
sdv_eval;CTGAN;100;0;credit_risk;sdv_eval;quality_score;0.8289126864708258
sdv_eval;CTGAN;100;0;credit_risk;sdv_eval;quality_score;0.8309675955024792
sdv_eval;CTGAN;100;0;credit_risk;sdv_eval;quality_score;0.8367590635032496
sdv_eval;GANBLR;150;0;credit_risk;sdv_eval;quality_score;0.4718710518129122
sdv_eval;GANBLR;150;0;credit_risk;sdv_eval;quality_score;0.46664423408609457
sdv_eval;GANBLR;150;0;credit_risk;sdv_eval;quality_score;0.46408340158340144
sdv_eval;GANBLR;150;1;credit_risk;sdv_eval;quality_score;0.4588614777568266
sdv_eval;GANBLR;150;1;credit_risk;sdv_eval;quality_score;0.4567631849608593
sdv_eval;GANBLR;150;1;credit_risk;sdv_eval;quality_score;0.45956051188609326
sdv_eval;CTGAN;150;0;credit_risk;sdv_eval;quality_score;0.8404449639914755
sdv_eval;CTGAN;150;0;credit_risk;sdv_eval;quality_score;0.8318561690654714
sdv_eval;CTGAN;150;0;credit_risk;sdv_eval;quality_score;0.839400976028883
