Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,0,mushrooms,adaboost,accuracy,0.9593846153846154
tstr,GANBLR,10,0,mushrooms,random_forest,accuracy,0.932923076923077
tstr,GANBLR,10,0,mushrooms,svm,accuracy,0.7415384615384616
sdv_eval,GANBLR,10,0,mushrooms,sdv_eval,quality_score,0.5068736948834566
trtr,GANBLR,10,0,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,0,mushrooms,adaboost,accuracy,0.9870769230769232
tstr,GANBLR,10,0,mushrooms,random_forest,accuracy,0.9083076923076924
tstr,GANBLR,10,0,mushrooms,svm,accuracy,0.6369230769230769
sdv_eval,GANBLR,10,0,mushrooms,sdv_eval,quality_score,0.5058441975467215
trtr,GANBLR,10,0,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,0,mushrooms,adaboost,accuracy,0.9778461538461538
tstr,GANBLR,10,0,mushrooms,random_forest,accuracy,0.8633846153846154
tstr,GANBLR,10,0,mushrooms,svm,accuracy,0.6855384615384615
sdv_eval,GANBLR,10,0,mushrooms,sdv_eval,quality_score,0.5038615880726214
trtr,GANBLR,10,1,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,1,mushrooms,adaboost,accuracy,0.9569230769230768
tstr,GANBLR,10,1,mushrooms,random_forest,accuracy,0.9833846153846154
tstr,GANBLR,10,1,mushrooms,svm,accuracy,0.9384615384615383
sdv_eval,GANBLR,10,1,mushrooms,sdv_eval,quality_score,0.7053360656854331
trtr,GANBLR,10,1,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,1,mushrooms,adaboost,accuracy,0.950153846153846
