Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.9634817408704353
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.0645322661330665
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9309654827413708
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,0,superstore,sdv_eval,quality_score,0.3841373005625326
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.9639819909954978
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9299649824912456
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,0,superstore,sdv_eval,quality_score,0.385436564973334
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.9654827413706852
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.535767883941971
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9294647323661832
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,0,superstore,sdv_eval,quality_score,0.3868104953881766
trtr,GANBLR,10,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,10,1,superstore,random_forest,accuracy,0.9644822411205602
trtr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,adaboost,accuracy,0.8554277138569285
tstr,GANBLR,10,1,superstore,random_forest,accuracy,0.9314657328664332
tstr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,1,superstore,sdv_eval,quality_score,0.4338728237059956
trtr,GANBLR,10,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,10,1,superstore,random_forest,accuracy,0.9634817408704353
trtr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,random_forest,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
