,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation
0,cap-shape,cap-surface,ContingencySimilarity,0.0,,
1,cap-shape,cap-color,ContingencySimilarity,0.0,,
2,cap-shape,bruises,ContingencySimilarity,0.0,,
3,cap-shape,odor,ContingencySimilarity,-2.220446049250313e-16,,
4,cap-shape,gill-attachment,ContingencySimilarity,0.0,,
5,cap-shape,gill-spacing,ContingencySimilarity,0.0,,
6,cap-shape,gill-size,ContingencySimilarity,0.0,,
7,cap-shape,gill-color,ContingencySimilarity,0.0,,
8,cap-shape,stalk-shape,ContingencySimilarity,0.0,,
9,cap-shape,stalk-root,ContingencySimilarity,0.0,,
10,cap-shape,stalk-surface-above-ring,ContingencySimilarity,0.0,,
11,cap-shape,stalk-surface-below-ring,ContingencySimilarity,0.0,,
12,cap-shape,stalk-color-above-ring,ContingencySimilarity,0.0,,
13,cap-shape,stalk-color-below-ring,ContingencySimilarity,1.1102230246251565e-16,,
14,cap-shape,veil-type,ContingencySimilarity,0.0,,
15,cap-shape,veil-color,ContingencySimilarity,0.0,,
16,cap-shape,ring-number,ContingencySimilarity,0.0,,
17,cap-shape,ring-type,ContingencySimilarity,0.0,,
18,cap-shape,spore-print-color,ContingencySimilarity,0.0,,
19,cap-shape,population,ContingencySimilarity,0.0,,
20,cap-shape,habitat,ContingencySimilarity,0.0,,
21,cap-shape,class,ContingencySimilarity,0.0,,
22,cap-surface,cap-color,ContingencySimilarity,0.0,,
23,cap-surface,bruises,ContingencySimilarity,0.0,,
24,cap-surface,odor,ContingencySimilarity,0.0,,
25,cap-surface,gill-attachment,ContingencySimilarity,1.1102230246251565e-16,,
26,cap-surface,gill-spacing,ContingencySimilarity,0.0,,
27,cap-surface,gill-size,ContingencySimilarity,0.0,,
28,cap-surface,gill-color,ContingencySimilarity,0.0,,
29,cap-surface,stalk-shape,ContingencySimilarity,0.0,,
30,cap-surface,stalk-root,ContingencySimilarity,0.0,,
31,cap-surface,stalk-surface-above-ring,ContingencySimilarity,0.0,,
32,cap-surface,stalk-surface-below-ring,ContingencySimilarity,0.0,,
33,cap-surface,stalk-color-above-ring,ContingencySimilarity,1.1102230246251565e-16,,
34,cap-surface,stalk-color-below-ring,ContingencySimilarity,1.1102230246251565e-16,,
35,cap-surface,veil-type,ContingencySimilarity,0.0,,
36,cap-surface,veil-color,ContingencySimilarity,0.0,,
37,cap-surface,ring-number,ContingencySimilarity,0.0,,
38,cap-surface,ring-type,ContingencySimilarity,0.0,,
39,cap-surface,spore-print-color,ContingencySimilarity,0.0,,
40,cap-surface,population,ContingencySimilarity,0.0,,
41,cap-surface,habitat,ContingencySimilarity,0.0,,
42,cap-surface,class,ContingencySimilarity,0.0,,
43,cap-color,bruises,ContingencySimilarity,0.0,,
44,cap-color,odor,ContingencySimilarity,0.0,,
45,cap-color,gill-attachment,ContingencySimilarity,0.0,,
46,cap-color,gill-spacing,ContingencySimilarity,0.0,,
47,cap-color,gill-size,ContingencySimilarity,0.0,,
48,cap-color,gill-color,ContingencySimilarity,0.0,,
49,cap-color,stalk-shape,ContingencySimilarity,0.0,,
50,cap-color,stalk-root,ContingencySimilarity,0.0,,
51,cap-color,stalk-surface-above-ring,ContingencySimilarity,0.0,,
52,cap-color,stalk-surface-below-ring,ContingencySimilarity,0.0,,
53,cap-color,stalk-color-above-ring,ContingencySimilarity,1.1102230246251565e-16,,
54,cap-color,stalk-color-below-ring,ContingencySimilarity,1.1102230246251565e-16,,
55,cap-color,veil-type,ContingencySimilarity,0.0,,
56,cap-color,veil-color,ContingencySimilarity,0.0,,
57,cap-color,ring-number,ContingencySimilarity,0.0,,
58,cap-color,ring-type,ContingencySimilarity,0.0,,
59,cap-color,spore-print-color,ContingencySimilarity,0.0,,
60,cap-color,population,ContingencySimilarity,0.0,,
61,cap-color,habitat,ContingencySimilarity,0.0,,
62,cap-color,class,ContingencySimilarity,0.0,,
63,bruises,odor,ContingencySimilarity,-2.220446049250313e-16,,
64,bruises,gill-attachment,ContingencySimilarity,0.0,,
65,bruises,gill-spacing,ContingencySimilarity,0.0,,
66,bruises,gill-size,ContingencySimilarity,0.0,,
67,bruises,gill-color,ContingencySimilarity,0.0,,
68,bruises,stalk-shape,ContingencySimilarity,1.1102230246251565e-16,,
69,bruises,stalk-root,ContingencySimilarity,0.0,,
70,bruises,stalk-surface-above-ring,ContingencySimilarity,0.0,,
71,bruises,stalk-surface-below-ring,ContingencySimilarity,0.0,,
72,bruises,stalk-color-above-ring,ContingencySimilarity,0.0,,
73,bruises,stalk-color-below-ring,ContingencySimilarity,0.0,,
74,bruises,veil-type,ContingencySimilarity,0.0,,
75,bruises,veil-color,ContingencySimilarity,0.0,,
76,bruises,ring-number,ContingencySimilarity,0.0,,
77,bruises,ring-type,ContingencySimilarity,0.0,,
78,bruises,spore-print-color,ContingencySimilarity,0.0,,
79,bruises,population,ContingencySimilarity,0.0,,
80,bruises,habitat,ContingencySimilarity,0.0,,
81,bruises,class,ContingencySimilarity,0.0,,
82,odor,gill-attachment,ContingencySimilarity,0.0,,
83,odor,gill-spacing,ContingencySimilarity,0.0,,
84,odor,gill-size,ContingencySimilarity,0.0,,
85,odor,gill-color,ContingencySimilarity,0.0,,
86,odor,stalk-shape,ContingencySimilarity,0.0,,
87,odor,stalk-root,ContingencySimilarity,0.0,,
88,odor,stalk-surface-above-ring,ContingencySimilarity,0.0,,
89,odor,stalk-surface-below-ring,ContingencySimilarity,0.0,,
90,odor,stalk-color-above-ring,ContingencySimilarity,-2.220446049250313e-16,,
91,odor,stalk-color-below-ring,ContingencySimilarity,0.0,,
92,odor,veil-type,ContingencySimilarity,0.0,,
93,odor,veil-color,ContingencySimilarity,0.0,,
94,odor,ring-number,ContingencySimilarity,0.0,,
95,odor,ring-type,ContingencySimilarity,0.0,,
96,odor,spore-print-color,ContingencySimilarity,0.0,,
97,odor,population,ContingencySimilarity,0.0,,
98,odor,habitat,ContingencySimilarity,0.0,,
99,odor,class,ContingencySimilarity,0.0,,
100,gill-attachment,gill-spacing,ContingencySimilarity,0.0,,
101,gill-attachment,gill-size,ContingencySimilarity,0.0,,
102,gill-attachment,gill-color,ContingencySimilarity,0.0,,
103,gill-attachment,stalk-shape,ContingencySimilarity,0.0,,
104,gill-attachment,stalk-root,ContingencySimilarity,0.0,,
105,gill-attachment,stalk-surface-above-ring,ContingencySimilarity,0.0,,
106,gill-attachment,stalk-surface-below-ring,ContingencySimilarity,0.0,,
107,gill-attachment,stalk-color-above-ring,ContingencySimilarity,0.0,,
108,gill-attachment,stalk-color-below-ring,ContingencySimilarity,1.1102230246251565e-16,,
109,gill-attachment,veil-type,ContingencySimilarity,0.0,,
110,gill-attachment,veil-color,ContingencySimilarity,0.0,,
111,gill-attachment,ring-number,ContingencySimilarity,0.0,,
112,gill-attachment,ring-type,ContingencySimilarity,0.0,,
113,gill-attachment,spore-print-color,ContingencySimilarity,1.1102230246251565e-16,,
114,gill-attachment,population,ContingencySimilarity,0.0,,
115,gill-attachment,habitat,ContingencySimilarity,0.0,,
116,gill-attachment,class,ContingencySimilarity,0.0,,
117,gill-spacing,gill-size,ContingencySimilarity,1.1102230246251565e-16,,
118,gill-spacing,gill-color,ContingencySimilarity,0.0,,
119,gill-spacing,stalk-shape,ContingencySimilarity,1.1102230246251565e-16,,
