,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation,Error
0,Ship Mode,Segment,CorrelationSimilarity,0.9904867776671791,0.01449943239366841,-0.004527012271973495,
1,Ship Mode,Country,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
2,Ship Mode,State,CorrelationSimilarity,0.9781545196057182,0.055556098053025825,0.01186513726446224,
3,Ship Mode,Postal Code,CorrelationSimilarity,0.9969544809261763,0.0032264202974762075,-0.002864617850171213,
4,Ship Mode,Region,CorrelationSimilarity,0.9696315431975443,0.03692823632332737,-0.023808677281584003,
5,Ship Mode,Category,CorrelationSimilarity,0.9883226875418311,-0.027484004836324603,-0.004129379919986737,
6,Ship Mode,Sub-Category,CorrelationSimilarity,0.9994257434437784,-0.0021261490834082876,-0.0032746621958514195,
7,Ship Mode,Sales,CorrelationSimilarity,0.9969897474001758,-0.0014559744747570907,0.004564530724891455,
8,Ship Mode,Quantity,CorrelationSimilarity,0.9752622982382484,-0.027969550499156653,0.021505853024346572,
9,Ship Mode,Discount,CorrelationSimilarity,0.958012223555364,-0.08381151125258662,0.00016404163668547813,
10,Ship Mode,Profit,CorrelationSimilarity,0.9917761430306925,0.008342917713498977,-0.008104796225115984,
11,Segment,Country,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
12,Segment,State,CorrelationSimilarity,0.9431942442376868,0.11104416918142225,-0.002567342343204075,
13,Segment,Postal Code,CorrelationSimilarity,0.9741044534802399,-0.05392274656905517,-0.002131653529534889,
14,Segment,Region,CorrelationSimilarity,0.9699884454271177,-0.06558315607392179,-0.005560046928157104,
15,Segment,Category,CorrelationSimilarity,0.9971555774008819,0.01581137999396516,0.010122534795728888,
16,Segment,Sub-Category,CorrelationSimilarity,0.9972655503137962,0.016411965076658683,0.010943065704250939,
17,Segment,Sales,CorrelationSimilarity,0.9923366880710283,0.024907762625036935,0.009581138767093494,
18,Segment,Quantity,CorrelationSimilarity,0.9760043527449641,0.057468745588715106,0.00947745107864333,
19,Segment,Discount,CorrelationSimilarity,0.9544941744273813,0.07519559664348602,-0.015816054501751445,
20,Segment,Profit,CorrelationSimilarity,0.9807949045229044,-0.024036979684072143,0.014373211270119032,
21,Country,State,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
22,Country,Postal Code,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
23,Country,Region,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
24,Country,Category,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
25,Country,Sub-Category,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
26,Country,Sales,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
27,Country,Quantity,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
28,Country,Discount,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
29,Country,Profit,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
30,State,Postal Code,CorrelationSimilarity,0.9941849658714005,-0.29190713644371263,-0.3035372047009116,
31,State,Region,CorrelationSimilarity,0.9518288906163875,-0.34805784937452144,-0.4444000681417464,
32,State,Category,CorrelationSimilarity,0.9805207352590425,0.04524351871898336,0.006284989237068322,
33,State,Sub-Category,CorrelationSimilarity,0.9853171272945115,0.027304485003541795,-0.002061260407435313,
34,State,Sales,CorrelationSimilarity,0.9996219962458627,0.0025122111050227304,0.0017562035967480557,
35,State,Quantity,CorrelationSimilarity,0.9998988522535659,0.001372187688599834,0.0011698921957315716,
36,State,Discount,CorrelationSimilarity,0.980556994439412,0.11827545700836888,0.15716146812954476,
