,Column,Metric,Score
0,cap-shape,KSComplement,0.8947562776957164
1,cap-surface,KSComplement,0.9487936976858691
2,cap-color,KSComplement,0.9316838995568686
3,bruises,KSComplement,0.9953225012309207
4,odor,KSComplement,0.966518956179222
5,gill-attachment,KSComplement,0.9974150664697193
6,gill-spacing,KSComplement,0.9916297390448056
7,gill-size,KSComplement,0.9923682914820285
8,gill-color,KSComplement,0.9762432299359921
9,stalk-shape,KSComplement,0.9875677006400788
10,stalk-root,KSComplement,0.9933530280649926
11,stalk-surface-above-ring,KSComplement,0.9586410635155096
12,stalk-surface-below-ring,KSComplement,0.9367306745445594
13,stalk-color-above-ring,KSComplement,0.9798129000492368
14,stalk-color-below-ring,KSComplement,0.9534711964549483
15,veil-type,KSComplement,1.0
16,veil-color,KSComplement,0.9976612506154604
17,ring-number,KSComplement,0.9955686853766618
18,ring-type,KSComplement,0.9878138847858198
19,spore-print-color,KSComplement,0.897095027080256
20,population,KSComplement,0.931068439192516
21,habitat,KSComplement,0.9512555391432792
22,class,KSComplement,0.9977843426883308
