,Column,Metric,Score
0,Ship Mode,KSComplement,0.7094256553932359
1,Segment,KSComplement,0.8606163698218932
2,Country,KSComplement,1.0
3,State,KSComplement,0.9197518511106664
4,Postal Code,KSComplement,0.8959375625375225
5,Region,KSComplement,0.9741845107064239
6,Category,KSComplement,0.8741244746848109
7,Sub-Category,KSComplement,0.8872323394036422
8,Sales,KSComplement,0.8793275965579348
9,Quantity,KSComplement,0.7730638383029818
10,Discount,KSComplement,0.8450070042025215
11,Profit,KSComplement,0.9979987992795677
