,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation
0,Ship Mode,Segment,ContingencySimilarity,0.8492095257154293,,
1,Ship Mode,Country,ContingencySimilarity,0.9476686011606964,,
2,Ship Mode,State,ContingencySimilarity,0.4870922553532119,,
3,Ship Mode,Postal Code,ContingencySimilarity,0.47208324994997,,
4,Ship Mode,Region,ContingencySimilarity,0.8479087452471483,,
5,Ship Mode,Category,ContingencySimilarity,0.9040424254552731,,
6,Ship Mode,Sub-Category,ContingencySimilarity,0.7740644386631979,,
7,Ship Mode,Sales,ContingencySimilarity,0.8820292175305183,,
8,Ship Mode,Quantity,ContingencySimilarity,0.8796277766659996,,
9,Ship Mode,Discount,ContingencySimilarity,0.8599159495697418,,
10,Ship Mode,Profit,ContingencySimilarity,0.841004602761657,,
11,Segment,Country,ContingencySimilarity,0.8588152891735041,,
12,Segment,State,ContingencySimilarity,0.47858715229137483,,
13,Segment,Postal Code,ContingencySimilarity,0.4690814488693217,,
14,Segment,Region,ContingencySimilarity,0.8127876726035621,,
15,Segment,Category,ContingencySimilarity,0.8522113267960776,,
16,Segment,Sub-Category,ContingencySimilarity,0.7606563938363018,,
17,Segment,Sales,ContingencySimilarity,0.8399039423654192,,
18,Segment,Quantity,ContingencySimilarity,0.8383029817890735,,
19,Segment,Discount,ContingencySimilarity,0.8388032819691815,,
20,Segment,Profit,ContingencySimilarity,0.830898539123474,,
21,Country,State,ContingencySimilarity,0.49429657794676807,,
22,Country,Postal Code,ContingencySimilarity,0.49649789873924355,,
23,Country,Region,ContingencySimilarity,0.8735241144686812,,
24,Country,Category,ContingencySimilarity,0.9419651791074645,,
25,Country,Sub-Category,ContingencySimilarity,0.7899739843906344,,
26,Country,Sales,ContingencySimilarity,0.9174504702821693,,
27,Country,Quantity,ContingencySimilarity,0.8891334800880528,,
28,Country,Discount,ContingencySimilarity,0.8827296377826696,,
29,Country,Profit,ContingencySimilarity,0.851610966579948,,
30,State,Postal Code,ContingencySimilarity,0.025615369221532958,,
31,State,Region,ContingencySimilarity,0.1964178507104264,,
32,State,Category,ContingencySimilarity,0.49149489693816284,,
33,State,Sub-Category,ContingencySimilarity,0.4545727436461876,,
34,State,Sales,ContingencySimilarity,0.47858715229137483,,
35,State,Quantity,ContingencySimilarity,0.4798879327596557,,
36,State,Discount,ContingencySimilarity,0.3250950570342206,,
37,State,Profit,ContingencySimilarity,0.4618771262757655,,
38,Postal Code,Region,ContingencySimilarity,0.188212927756654,,
39,Postal Code,Category,ContingencySimilarity,0.48349009405643395,,
40,Postal Code,Sub-Category,ContingencySimilarity,0.4233540124074445,,
41,Postal Code,Sales,ContingencySimilarity,0.470782469481689,,
42,Postal Code,Quantity,ContingencySimilarity,0.4638783269961977,,
43,Postal Code,Discount,ContingencySimilarity,0.319791875125075,,
44,Postal Code,Profit,ContingencySimilarity,0.4518711226736041,,
45,Region,Category,ContingencySimilarity,0.8635181108665199,,
46,Region,Sub-Category,ContingencySimilarity,0.7634580748449069,,
47,Region,Sales,ContingencySimilarity,0.8334000400240145,,
48,Region,Quantity,ContingencySimilarity,0.8348008805283169,,
49,Region,Discount,ContingencySimilarity,0.7886732039223534,,
50,Region,Profit,ContingencySimilarity,0.7813688212927756,,
51,Category,Sub-Category,ContingencySimilarity,0.40214128477086253,,
52,Category,Sales,ContingencySimilarity,0.7984790874524714,,
53,Category,Quantity,ContingencySimilarity,0.8742245347208325,,
54,Category,Discount,ContingencySimilarity,0.8095857514508705,,
55,Category,Profit,ContingencySimilarity,0.8499099459675805,,
56,Sub-Category,Sales,ContingencySimilarity,0.6843105863518111,,
57,Sub-Category,Quantity,ContingencySimilarity,0.7591554932959775,,
58,Sub-Category,Discount,ContingencySimilarity,0.6553932359415648,,
59,Sub-Category,Profit,ContingencySimilarity,0.7191314788873324,,
60,Sales,Quantity,ContingencySimilarity,0.8289973984390634,,
61,Sales,Discount,ContingencySimilarity,0.8265959575745447,,
62,Sales,Profit,ContingencySimilarity,0.7453472083249949,,
63,Quantity,Discount,ContingencySimilarity,0.8464078447068241,,
64,Quantity,Profit,ContingencySimilarity,0.8188913348008805,,
65,Discount,Profit,ContingencySimilarity,0.7864718831298779,,
