,Column,Metric,Score
0,Ship Mode,TVComplement,0.9023414048429058
1,Segment,TVComplement,0.8468080848509105
2,Country,TVComplement,1.0
3,State,TVComplement,0.6464878927892457
4,Postal Code,TVComplement,0.5652391434860915
5,Region,TVComplement,0.9552731638983389
6,Category,TVComplement,0.8603161897138283
7,Sub-Category,TVComplement,0.749749849909946
8,Sales,TVComplement,0.8695217130278167
9,Quantity,TVComplement,0.9147488493095858
10,Discount,TVComplement,0.8340004002401441
11,Profit,TVComplement,0.8956373824294577
