,Column,Metric,Score
0,Ship Mode,TVComplement,0.6284770862517511
1,Segment,TVComplement,0.8607164298579147
2,Country,TVComplement,1.0
3,State,TVComplement,0.6253752251350811
4,Postal Code,TVComplement,0.4597758655193118
5,Region,TVComplement,0.9075445267160296
6,Category,TVComplement,0.8241945167100261
7,Sub-Category,TVComplement,0.6276766059635781
8,Sales,TVComplement,0.8121873123874325
9,Quantity,TVComplement,0.7673604162497498
10,Discount,TVComplement,0.694916950170102
11,Profit,TVComplement,0.9990994597728419
