,Column,Metric,Score
0,person_age,TVComplement,0.7881835323695788
1,person_income,TVComplement,0.8710803827082897
2,person_home_ownership,TVComplement,0.9052657308471262
3,person_emp_length,TVComplement,0.8106711362525316
4,loan_intent,TVComplement,0.9026119142398212
5,loan_grade,TVComplement,0.8287589915496892
6,loan_amnt,TVComplement,0.8286542356309798
7,loan_int_rate,TVComplement,0.9028563447168099
8,loan_percent_income,TVComplement,0.8397932816537468
9,cb_person_default_on_file,TVComplement,0.9649766045114883
10,cb_person_cred_hist_length,TVComplement,0.8737341993155947
11,loan_status,TVComplement,0.8892031566450171
