,Column,Metric,Score
0,cap-shape,TVComplement,0.9692269817823732
1,cap-surface,TVComplement,0.8221319547021172
2,cap-color,TVComplement,0.9162973904480551
3,bruises,TVComplement,0.8936484490398818
4,odor,TVComplement,0.862875430822255
5,gill-attachment,TVComplement,0.9501477104874446
6,gill-spacing,TVComplement,0.991014278680453
7,gill-size,TVComplement,0.9082964057114722
8,gill-color,TVComplement,0.8337026095519449
9,stalk-shape,TVComplement,0.9721811915312655
10,stalk-root,TVComplement,0.7804037419990153
11,stalk-surface-above-ring,TVComplement,0.8737075332348596
12,stalk-surface-below-ring,TVComplement,0.8557360905957656
13,stalk-color-above-ring,TVComplement,0.8353028064992615
14,stalk-color-below-ring,TVComplement,0.820162481536189
15,veil-type,TVComplement,1.0
16,veil-color,TVComplement,0.957040866568193
17,ring-number,TVComplement,0.9382077794190055
18,ring-type,TVComplement,0.9063269325455441
19,spore-print-color,TVComplement,0.862875430822255
20,population,TVComplement,0.8724766125061546
21,habitat,TVComplement,0.8967257508616445
22,class,TVComplement,0.8333333333333333
