,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation
0,cap-shape,cap-surface,ContingencySimilarity,0.41863613983259473,,
1,cap-shape,cap-color,ContingencySimilarity,0.30711472181191535,,
2,cap-shape,bruises,ContingencySimilarity,0.4945839487936976,,
3,cap-shape,odor,ContingencySimilarity,0.3849089118660759,,
4,cap-shape,gill-attachment,ContingencySimilarity,0.31610044313146224,,
5,cap-shape,gill-spacing,ContingencySimilarity,0.45814869522402757,,
6,cap-shape,gill-size,ContingencySimilarity,0.5023387493845396,,
7,cap-shape,gill-color,ContingencySimilarity,0.37346134908911877,,
8,cap-shape,stalk-shape,ContingencySimilarity,0.5023387493845396,,
9,cap-shape,stalk-root,ContingencySimilarity,0.34847365829640575,,
10,cap-shape,stalk-surface-above-ring,ContingencySimilarity,0.39401772525849343,,
11,cap-shape,stalk-surface-below-ring,ContingencySimilarity,0.3974643032988675,,
12,cap-shape,stalk-color-above-ring,ContingencySimilarity,0.26033973412112266,,
13,cap-shape,stalk-color-below-ring,ContingencySimilarity,0.2683407188577056,,
14,cap-shape,veil-type,ContingencySimilarity,0.5023387493845396,,
15,cap-shape,veil-color,ContingencySimilarity,0.1607582471688822,,
16,cap-shape,ring-number,ContingencySimilarity,0.2692023633677991,,
17,cap-shape,ring-type,ContingencySimilarity,0.2901280157557853,,
18,cap-shape,spore-print-color,ContingencySimilarity,0.22341211225997049,,
19,cap-shape,population,ContingencySimilarity,0.3623830625307731,,
20,cap-shape,habitat,ContingencySimilarity,0.40004923682914817,,
21,cap-shape,class,ContingencySimilarity,0.5023387493845396,,
22,cap-surface,cap-color,ContingencySimilarity,0.43537666174298373,,
23,cap-surface,bruises,ContingencySimilarity,0.7448301329394387,,
24,cap-surface,odor,ContingencySimilarity,0.44103889709502697,,
25,cap-surface,gill-attachment,ContingencySimilarity,0.3899556868537666,,
26,cap-surface,gill-spacing,ContingencySimilarity,0.517232890201871,,
27,cap-surface,gill-size,ContingencySimilarity,0.7136878385032004,,
28,cap-surface,gill-color,ContingencySimilarity,0.49938453963564744,,
29,cap-surface,stalk-shape,ContingencySimilarity,0.7646479566715902,,
30,cap-surface,stalk-root,ContingencySimilarity,0.465780403741999,,
31,cap-surface,stalk-surface-above-ring,ContingencySimilarity,0.482028557360906,,
32,cap-surface,stalk-surface-below-ring,ContingencySimilarity,0.47205809945839483,,
33,cap-surface,stalk-color-above-ring,ContingencySimilarity,0.2940669620876416,,
34,cap-surface,stalk-color-below-ring,ContingencySimilarity,0.3064992614475628,,
35,cap-surface,veil-type,ContingencySimilarity,0.7807730182176268,,
36,cap-surface,veil-color,ContingencySimilarity,0.17491383554899065,,
37,cap-surface,ring-number,ContingencySimilarity,0.31105366814377167,,
38,cap-surface,ring-type,ContingencySimilarity,0.38638601674052186,,
39,cap-surface,spore-print-color,ContingencySimilarity,0.328409650418513,,
40,cap-surface,population,ContingencySimilarity,0.4535942885278188,,
41,cap-surface,habitat,ContingencySimilarity,0.47365829640571144,,
42,cap-surface,class,ContingencySimilarity,0.7699409158050221,,
43,cap-color,bruises,ContingencySimilarity,0.5412358444116199,,
44,cap-color,odor,ContingencySimilarity,0.2815115706548499,,
45,cap-color,gill-attachment,ContingencySimilarity,0.30083702609551954,,
46,cap-color,gill-spacing,ContingencySimilarity,0.4122353520433284,,
47,cap-color,gill-size,ContingencySimilarity,0.4597488921713442,,
48,cap-color,gill-color,ContingencySimilarity,0.29775972427375685,,
49,cap-color,stalk-shape,ContingencySimilarity,0.4597488921713443,,
50,cap-color,stalk-root,ContingencySimilarity,0.3322255046774988,,
51,cap-color,stalk-surface-above-ring,ContingencySimilarity,0.3505662235352044,,
52,cap-color,stalk-surface-below-ring,ContingencySimilarity,0.361152141802068,,
53,cap-color,stalk-color-above-ring,ContingencySimilarity,0.21614967996061052,,
54,cap-color,stalk-color-below-ring,ContingencySimilarity,0.2293205317577548,,
55,cap-color,veil-type,ContingencySimilarity,0.5412358444116199,,
56,cap-color,veil-color,ContingencySimilarity,0.1715903495814869,,
57,cap-color,ring-number,ContingencySimilarity,0.2546774987690793,,
58,cap-color,ring-type,ContingencySimilarity,0.25677006400787783,,
59,cap-color,spore-print-color,ContingencySimilarity,0.23929098966026585,,
60,cap-color,population,ContingencySimilarity,0.34539635647464306,,
61,cap-color,habitat,ContingencySimilarity,0.3190546528803545,,
62,cap-color,class,ContingencySimilarity,0.5161250615460364,,
63,bruises,odor,ContingencySimilarity,0.45384047267355976,,
64,bruises,gill-attachment,ContingencySimilarity,0.49199901526341705,,
65,bruises,gill-spacing,ContingencySimilarity,0.6440177252584933,,
66,bruises,gill-size,ContingencySimilarity,0.7826193993106844,,
67,bruises,gill-color,ContingencySimilarity,0.5105859182668637,,
68,bruises,stalk-shape,ContingencySimilarity,0.8999261447562776,,
69,bruises,stalk-root,ContingencySimilarity,0.5583456425406204,,
70,bruises,stalk-surface-above-ring,ContingencySimilarity,0.4684884293451502,,
71,bruises,stalk-surface-below-ring,ContingencySimilarity,0.47476612506154603,,
72,bruises,stalk-color-above-ring,ContingencySimilarity,0.31610044313146235,,
73,bruises,stalk-color-below-ring,ContingencySimilarity,0.33013293943870015,,
74,bruises,veil-type,ContingencySimilarity,0.9251600196947317,,
75,bruises,veil-color,ContingencySimilarity,0.22341211225997049,,
76,bruises,ring-number,ContingencySimilarity,0.3685376661742984,,
77,bruises,ring-type,ContingencySimilarity,0.40435745937961587,,
78,bruises,spore-print-color,ContingencySimilarity,0.3782619399310685,,
79,bruises,population,ContingencySimilarity,0.5817331363860168,,
80,bruises,habitat,ContingencySimilarity,0.5230182176267848,,
81,bruises,class,ContingencySimilarity,0.6768833087149188,,
82,odor,gill-attachment,ContingencySimilarity,0.3825701624815362,,
83,odor,gill-spacing,ContingencySimilarity,0.48609059576563274,,
84,odor,gill-size,ContingencySimilarity,0.5155096011816839,,
85,odor,gill-color,ContingencySimilarity,0.39758739537173815,,
86,odor,stalk-shape,ContingencySimilarity,0.45064007877892664,,
87,odor,stalk-root,ContingencySimilarity,0.2888970950270803,,
88,odor,stalk-surface-above-ring,ContingencySimilarity,0.41432791728212703,,
89,odor,stalk-surface-below-ring,ContingencySimilarity,0.40386509108813384,,
90,odor,stalk-color-above-ring,ContingencySimilarity,0.2059330379123585,,
91,odor,stalk-color-below-ring,ContingencySimilarity,0.22107336287543078,,
92,odor,veil-type,ContingencySimilarity,0.5200640078778926,,
93,odor,veil-color,ContingencySimilarity,0.21750369276218606,,
94,odor,ring-number,ContingencySimilarity,0.2972673559822747,,
95,odor,ring-type,ContingencySimilarity,0.2511078286558346,,
96,odor,spore-print-color,ContingencySimilarity,0.23141309699655332,,
97,odor,population,ContingencySimilarity,0.34342688330871496,,
98,odor,habitat,ContingencySimilarity,0.3825701624815363,,
99,odor,class,ContingencySimilarity,0.5158788774002955,,
100,gill-attachment,gill-spacing,ContingencySimilarity,0.4149433776464795,,
101,gill-attachment,gill-size,ContingencySimilarity,0.49199901526341705,,
102,gill-attachment,gill-color,ContingencySimilarity,0.3670605612998523,,
103,gill-attachment,stalk-shape,ContingencySimilarity,0.49199901526341705,,
104,gill-attachment,stalk-root,ContingencySimilarity,0.38786312161496805,,
105,gill-attachment,stalk-surface-above-ring,ContingencySimilarity,0.3397341211225997,,
106,gill-attachment,stalk-surface-below-ring,ContingencySimilarity,0.34995076317085183,,
107,gill-attachment,stalk-color-above-ring,ContingencySimilarity,0.2518463810930577,,
108,gill-attachment,stalk-color-below-ring,ContingencySimilarity,0.26107828655834564,,
109,gill-attachment,veil-type,ContingencySimilarity,0.49199901526341705,,
110,gill-attachment,veil-color,ContingencySimilarity,0.11964549483013287,,
111,gill-attachment,ring-number,ContingencySimilarity,0.23375184638109303,,
112,gill-attachment,ring-type,ContingencySimilarity,0.31486952240275723,,
113,gill-attachment,spore-print-color,ContingencySimilarity,0.21750369276218606,,
114,gill-attachment,population,ContingencySimilarity,0.3593057607090102,,
115,gill-attachment,habitat,ContingencySimilarity,0.38983259478089616,,
116,gill-attachment,class,ContingencySimilarity,0.49199901526341705,,
117,gill-spacing,gill-size,ContingencySimilarity,0.6142294436238307,,
118,gill-spacing,gill-color,ContingencySimilarity,0.5467749876907927,,
119,gill-spacing,stalk-shape,ContingencySimilarity,0.6440177252584933,,
120,gill-spacing,stalk-root,ContingencySimilarity,0.5209256523879862,,
121,gill-spacing,stalk-surface-above-ring,ContingencySimilarity,0.440792712949286,,
122,gill-spacing,stalk-surface-below-ring,ContingencySimilarity,0.44091580502215666,,
123,gill-spacing,stalk-color-above-ring,ContingencySimilarity,0.2710487444608567,,
124,gill-spacing,stalk-color-below-ring,ContingencySimilarity,0.2834810438207779,,
125,gill-spacing,veil-type,ContingencySimilarity,0.6440177252584933,,
126,gill-spacing,veil-color,ContingencySimilarity,0.22341211225997037,,
127,gill-spacing,ring-number,ContingencySimilarity,0.32188577055637624,,
128,gill-spacing,ring-type,ContingencySimilarity,0.4451009354997538,,
129,gill-spacing,spore-print-color,ContingencySimilarity,0.3737075332348597,,
130,gill-spacing,population,ContingencySimilarity,0.4543328409650418,,
131,gill-spacing,habitat,ContingencySimilarity,0.47218119153126537,,
132,gill-spacing,class,ContingencySimilarity,0.6440177252584933,,
133,gill-size,gill-color,ContingencySimilarity,0.5933037912358445,,
134,gill-size,stalk-shape,ContingencySimilarity,0.7901280157557853,,
135,gill-size,stalk-root,ContingencySimilarity,0.482520925652388,,
136,gill-size,stalk-surface-above-ring,ContingencySimilarity,0.5468980797636632,,
137,gill-size,stalk-surface-below-ring,ContingencySimilarity,0.5768094534711965,,
138,gill-size,stalk-color-above-ring,ContingencySimilarity,0.29702117183653376,,
139,gill-size,stalk-color-below-ring,ContingencySimilarity,0.3206548498276711,,
140,gill-size,veil-type,ContingencySimilarity,0.8238552437223043,,
141,gill-size,veil-color,ContingencySimilarity,0.22341211225997037,,
142,gill-size,ring-number,ContingencySimilarity,0.3685376661742984,,
143,gill-size,ring-type,ContingencySimilarity,0.3829394387001477,,
144,gill-size,spore-print-color,ContingencySimilarity,0.34108813392417536,,
145,gill-size,population,ContingencySimilarity,0.47451994091580496,,
146,gill-size,habitat,ContingencySimilarity,0.5417282127031019,,
147,gill-size,class,ContingencySimilarity,0.8238552437223043,,
148,gill-color,stalk-shape,ContingencySimilarity,0.49236829148202843,,
149,gill-color,stalk-root,ContingencySimilarity,0.32422451994091583,,
150,gill-color,stalk-surface-above-ring,ContingencySimilarity,0.4267602166420482,,
151,gill-color,stalk-surface-below-ring,ContingencySimilarity,0.4145741014278681,,
152,gill-color,stalk-color-above-ring,ContingencySimilarity,0.2296898079763664,,
153,gill-color,stalk-color-below-ring,ContingencySimilarity,0.24187592319054652,,
154,gill-color,veil-type,ContingencySimilarity,0.6800837026095519,,
155,gill-color,veil-color,ContingencySimilarity,0.18119153126538645,,
156,gill-color,ring-number,ContingencySimilarity,0.2773264401772526,,
157,gill-color,ring-type,ContingencySimilarity,0.24618414574101422,,
158,gill-color,spore-print-color,ContingencySimilarity,0.2055637616937469,,
159,gill-color,population,ContingencySimilarity,0.36595273264401773,,
160,gill-color,habitat,ContingencySimilarity,0.3610290497291976,,
161,gill-color,class,ContingencySimilarity,0.6467257508616445,,
162,stalk-shape,stalk-root,ContingencySimilarity,0.6267848350566223,,
163,stalk-shape,stalk-surface-above-ring,ContingencySimilarity,0.5962580009847366,,
164,stalk-shape,stalk-surface-below-ring,ContingencySimilarity,0.576686361398326,,
165,stalk-shape,stalk-color-above-ring,ContingencySimilarity,0.31536189069423937,,
166,stalk-shape,stalk-color-below-ring,ContingencySimilarity,0.32853274249138353,,
167,stalk-shape,veil-type,ContingencySimilarity,0.9468242245199409,,
168,stalk-shape,veil-color,ContingencySimilarity,0.22341211225997037,,
169,stalk-shape,ring-number,ContingencySimilarity,0.3685376661742985,,
170,stalk-shape,ring-type,ContingencySimilarity,0.4611029049729197,,
171,stalk-shape,spore-print-color,ContingencySimilarity,0.4075578532742492,,
172,stalk-shape,population,ContingencySimilarity,0.5850566223535204,,
173,stalk-shape,habitat,ContingencySimilarity,0.5989660265878877,,
174,stalk-shape,class,ContingencySimilarity,0.8642294436238307,,
175,stalk-root,stalk-surface-above-ring,ContingencySimilarity,0.4176514032496307,,
176,stalk-root,stalk-surface-below-ring,ContingencySimilarity,0.3814623338257016,,
177,stalk-root,stalk-color-above-ring,ContingencySimilarity,0.2048252092565238,,
178,stalk-root,stalk-color-below-ring,ContingencySimilarity,0.2145494830132939,,
179,stalk-root,veil-type,ContingencySimilarity,0.6469719350073855,,
180,stalk-root,veil-color,ContingencySimilarity,0.21171836533727229,,
181,stalk-root,ring-number,ContingencySimilarity,0.29615952732644024,,
182,stalk-root,ring-type,ContingencySimilarity,0.3248399803052684,,
183,stalk-root,spore-print-color,ContingencySimilarity,0.2456917774495324,,
184,stalk-root,population,ContingencySimilarity,0.37973904480551446,,
185,stalk-root,habitat,ContingencySimilarity,0.3676760216642049,,
186,stalk-root,class,ContingencySimilarity,0.6013047759724273,,
187,stalk-surface-above-ring,stalk-surface-below-ring,ContingencySimilarity,0.3892171344165436,,
188,stalk-surface-above-ring,stalk-color-above-ring,ContingencySimilarity,0.26144756277695713,,
