,Column,Metric,Score
0,cap-shape,TVComplement,0.5023387493845396
1,cap-surface,TVComplement,0.7807730182176267
2,cap-color,TVComplement,0.5412358444116199
3,bruises,TVComplement,0.9251600196947317
4,odor,TVComplement,0.5200640078778926
5,gill-attachment,TVComplement,0.49199901526341705
6,gill-spacing,TVComplement,0.6440177252584933
7,gill-size,TVComplement,0.8238552437223043
8,gill-color,TVComplement,0.680083702609552
9,stalk-shape,TVComplement,0.9468242245199409
10,stalk-root,TVComplement,0.6469719350073855
11,stalk-surface-above-ring,TVComplement,0.5962580009847367
12,stalk-surface-below-ring,TVComplement,0.5768094534711964
13,stalk-color-above-ring,TVComplement,0.33641063515509606
14,stalk-color-below-ring,TVComplement,0.35745937961595275
15,veil-type,TVComplement,1.0
16,veil-color,TVComplement,0.22341211225997037
17,ring-number,TVComplement,0.3685376661742984
18,ring-type,TVComplement,0.48645987198424423
19,spore-print-color,TVComplement,0.4153126538650911
20,population,TVComplement,0.5920728705071393
21,habitat,TVComplement,0.6017971442639094
22,class,TVComplement,0.9991383554899065
