,Column,Metric,Score
0,person_age,TVComplement,0.8262448495006635
1,person_income,TVComplement,0.9064878832320693
2,person_home_ownership,TVComplement,0.779139604721
3,person_emp_length,TVComplement,0.881974998254068
4,loan_intent,TVComplement,0.9532439416160347
5,loan_grade,TVComplement,0.77386689014596
6,loan_amnt,TVComplement,0.8725469655702214
7,loan_int_rate,TVComplement,0.8746071653048397
8,loan_percent_income,TVComplement,0.8582652419861723
9,cb_person_default_on_file,TVComplement,0.9429778615825127
10,cb_person_cred_hist_length,TVComplement,0.9311753614079196
11,loan_status,TVComplement,0.9873943711153013
