,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation
0,cap-shape,cap-surface,ContingencySimilarity,0.7364598719842442,,
1,cap-shape,cap-color,ContingencySimilarity,0.741999015263417,,
2,cap-shape,bruises,ContingencySimilarity,0.8093303791235844,,
3,cap-shape,odor,ContingencySimilarity,0.7296898079763663,,
4,cap-shape,gill-attachment,ContingencySimilarity,0.8010832102412604,,
5,cap-shape,gill-spacing,ContingencySimilarity,0.8157311669128509,,
6,cap-shape,gill-size,ContingencySimilarity,0.7885278188084688,,
7,cap-shape,gill-color,ContingencySimilarity,0.7385524372230429,,
8,cap-shape,stalk-shape,ContingencySimilarity,0.6773756770064008,,
9,cap-shape,stalk-root,ContingencySimilarity,0.6856228458887248,,
10,cap-shape,stalk-surface-above-ring,ContingencySimilarity,0.7983751846381093,,
11,cap-shape,stalk-surface-below-ring,ContingencySimilarity,0.8015755785327425,,
12,cap-shape,stalk-color-above-ring,ContingencySimilarity,0.7568931560807484,,
13,cap-shape,stalk-color-below-ring,ContingencySimilarity,0.7422451994091581,,
14,cap-shape,veil-type,ContingencySimilarity,0.8202855736090595,,
15,cap-shape,veil-color,ContingencySimilarity,0.791974396848843,,
16,cap-shape,ring-number,ContingencySimilarity,0.7900049236829149,,
17,cap-shape,ring-type,ContingencySimilarity,0.749261447562777,,
18,cap-shape,spore-print-color,ContingencySimilarity,0.7090103397341212,,
19,cap-shape,population,ContingencySimilarity,0.732520925652388,,
20,cap-shape,habitat,ContingencySimilarity,0.7428606597735106,,
21,cap-shape,class,ContingencySimilarity,0.8101920236336779,,
22,cap-surface,cap-color,ContingencySimilarity,0.7385524372230429,,
23,cap-surface,bruises,ContingencySimilarity,0.7258739537173806,,
24,cap-surface,odor,ContingencySimilarity,0.7019940915805023,,
25,cap-surface,gill-attachment,ContingencySimilarity,0.741999015263417,,
26,cap-surface,gill-spacing,ContingencySimilarity,0.7566469719350074,,
27,cap-surface,gill-size,ContingencySimilarity,0.7371984244214672,,
28,cap-surface,gill-color,ContingencySimilarity,0.6826686361398325,,
29,cap-surface,stalk-shape,ContingencySimilarity,0.6910388970950271,,
30,cap-surface,stalk-root,ContingencySimilarity,0.6697439684884294,,
31,cap-surface,stalk-surface-above-ring,ContingencySimilarity,0.7331363860167405,,
32,cap-surface,stalk-surface-below-ring,ContingencySimilarity,0.740029542097489,,
33,cap-surface,stalk-color-above-ring,ContingencySimilarity,0.7264894140817332,,
34,cap-surface,stalk-color-below-ring,ContingencySimilarity,0.7205809945839488,,
35,cap-surface,veil-type,ContingencySimilarity,0.775726243229936,,
36,cap-surface,veil-color,ContingencySimilarity,0.7299359921221074,,
37,cap-surface,ring-number,ContingencySimilarity,0.7708025603151157,,
38,cap-surface,ring-type,ContingencySimilarity,0.7029788281634664,,
39,cap-surface,spore-print-color,ContingencySimilarity,0.698301329394387,,
40,cap-surface,population,ContingencySimilarity,0.7323978335795175,,
41,cap-surface,habitat,ContingencySimilarity,0.6996553421959626,,
42,cap-surface,class,ContingencySimilarity,0.7524618414574101,,
43,cap-color,bruises,ContingencySimilarity,0.8415805022156573,,
44,cap-color,odor,ContingencySimilarity,0.6345396356474642,,
45,cap-color,gill-attachment,ContingencySimilarity,0.8085918266863614,,
46,cap-color,gill-spacing,ContingencySimilarity,0.83739537173806,,
47,cap-color,gill-size,ContingencySimilarity,0.7319054652880355,,
48,cap-color,gill-color,ContingencySimilarity,0.6509108813392418,,
49,cap-color,stalk-shape,ContingencySimilarity,0.6266617429837518,,
50,cap-color,stalk-root,ContingencySimilarity,0.6527572624322993,,
51,cap-color,stalk-surface-above-ring,ContingencySimilarity,0.7785573609059577,,
52,cap-color,stalk-surface-below-ring,ContingencySimilarity,0.7604628261939931,,
53,cap-color,stalk-color-above-ring,ContingencySimilarity,0.7129492860659774,,
