,Column,Metric,Score
0,cap-shape,TVComplement,0.940792712949286
1,cap-surface,TVComplement,0.8815854258985721
2,cap-color,TVComplement,0.8420728705071393
3,bruises,TVComplement,0.9724273756770063
4,odor,TVComplement,0.9306991629739045
5,gill-attachment,TVComplement,0.9713195470211718
6,gill-spacing,TVComplement,0.9453471196454949
7,gill-size,TVComplement,0.9491629739044805
8,gill-color,KSComplement,0.8945100935499753
9,stalk-shape,TVComplement,0.8775233874938454
10,stalk-root,TVComplement,0.9074347612013787
11,stalk-surface-above-ring,TVComplement,0.9628261939931069
12,stalk-surface-below-ring,TVComplement,0.9513786312161496
13,stalk-color-above-ring,TVComplement,0.9311915312653865
14,stalk-color-below-ring,TVComplement,0.9154357459379615
15,veil-type,TVComplement,1.0
16,veil-color,TVComplement,0.9703348104382078
17,ring-number,TVComplement,0.9784588872476613
18,ring-type,TVComplement,0.9448547513540129
19,spore-print-color,TVComplement,0.887124569177745
20,population,TVComplement,0.9258985721319547
21,habitat,TVComplement,0.9196208764155589
22,class,TVComplement,0.9506400787789266
