,Column,Metric,Score
0,cap-shape,TVComplement,0.6555883801083211
1,cap-surface,TVComplement,0.9142048252092565
2,cap-color,TVComplement,0.706794682422452
3,bruises,TVComplement,0.9283604135893648
4,odor,TVComplement,0.5221565731166913
5,gill-attachment,TVComplement,0.9284835056622354
6,gill-spacing,TVComplement,0.8609059576563269
7,gill-size,TVComplement,0.8244707040866568
8,gill-color,KSComplement,0.912850812407681
9,stalk-shape,TVComplement,0.7231659281142294
10,stalk-root,TVComplement,0.7384293451501722
11,stalk-surface-above-ring,TVComplement,0.6509108813392418
12,stalk-surface-below-ring,TVComplement,0.5263417035942886
13,stalk-color-above-ring,TVComplement,0.6930083702609553
14,stalk-color-below-ring,TVComplement,0.5248645987198425
15,veil-type,TVComplement,1.0
16,veil-color,TVComplement,0.8807237813884785
17,ring-number,TVComplement,0.8892171344165436
18,ring-type,TVComplement,0.7881585425898572
19,spore-print-color,TVComplement,0.8709995076317085
20,population,TVComplement,0.741752831117676
21,habitat,TVComplement,0.7864352535696701
22,class,TVComplement,0.9993845396356476
