,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation
0,Ship Mode,Segment,ContingencySimilarity,0.8897338403041826,,
1,Ship Mode,Country,ContingencySimilarity,0.9261556934160496,,
2,Ship Mode,State,ContingencySimilarity,0.7437462477486492,,
3,Ship Mode,Postal Code,ContingencySimilarity,0.7207324394636783,,
4,Ship Mode,Region,ContingencySimilarity,0.8792275365219131,,
5,Ship Mode,Category,ContingencySimilarity,0.7565539323594156,,
6,Ship Mode,Sub-Category,ContingencySimilarity,0.751550930558335,,
7,Ship Mode,Sales,ContingencySimilarity,0.8550130078046828,,
8,Ship Mode,Quantity,ContingencySimilarity,0.8730238142885731,,
9,Ship Mode,Discount,ContingencySimilarity,0.9095457274364619,,
10,Ship Mode,Profit,ContingencySimilarity,0.8571142685611366,,
11,Segment,Country,ContingencySimilarity,0.9008405043025816,,
12,Segment,State,ContingencySimilarity,0.751550930558335,,
13,Segment,Postal Code,ContingencySimilarity,0.7030218130878527,,
14,Segment,Region,ContingencySimilarity,0.8676205723434061,,
15,Segment,Category,ContingencySimilarity,0.7545527316389834,,
16,Segment,Sub-Category,ContingencySimilarity,0.7406443866319792,,
17,Segment,Sales,ContingencySimilarity,0.8499099459675805,,
18,Segment,Quantity,ContingencySimilarity,0.8455073043826296,,
19,Segment,Discount,ContingencySimilarity,0.8896337802681609,,
20,Segment,Profit,ContingencySimilarity,0.8752251350810486,,
21,Country,State,ContingencySimilarity,0.7570542325395238,,
22,Country,Postal Code,ContingencySimilarity,0.7227336401841105,,
23,Country,Region,ContingencySimilarity,0.904342605563338,,
24,Country,Category,ContingencySimilarity,0.7565539323594157,,
25,Country,Sub-Category,ContingencySimilarity,0.7598559135481289,,
26,Country,Sales,ContingencySimilarity,0.8680208124874924,,
27,Country,Quantity,ContingencySimilarity,0.8933360016009606,,
28,Country,Discount,ContingencySimilarity,0.9453672203321993,,
29,Country,Profit,ContingencySimilarity,0.8763257954772864,,
30,State,Postal Code,CorrelationSimilarity,0.8594114685019562,-0.022360141704823547,-0.3035372047009113
31,State,Region,ContingencySimilarity,0.39283570142085256,,
32,State,Category,ContingencySimilarity,0.7050230138082849,,
33,State,Sub-Category,CorrelationSimilarity,0.9939006339170325,0.010137471758499739,-0.002061260407435283
34,State,Sales,ContingencySimilarity,0.7236341805083051,,
35,State,Quantity,ContingencySimilarity,0.7443466079647789,,
36,State,Discount,ContingencySimilarity,0.626175705423254,,
37,State,Profit,ContingencySimilarity,0.7178306984190513,,
38,Postal Code,Region,ContingencySimilarity,0.368421052631579,,
39,Postal Code,Category,ContingencySimilarity,0.6697018210926556,,
40,Postal Code,Sub-Category,CorrelationSimilarity,0.9931461591859158,-0.01675460117036435,-0.003046919542195804
41,Postal Code,Sales,ContingencySimilarity,0.7077246347808686,,
42,Postal Code,Quantity,ContingencySimilarity,0.7084250550330198,,
43,Postal Code,Discount,ContingencySimilarity,0.6323794276565939,,
44,Postal Code,Profit,ContingencySimilarity,0.7052231338803281,,
45,Region,Category,ContingencySimilarity,0.7565539323594157,,
46,Region,Sub-Category,ContingencySimilarity,0.7438463077846709,,
47,Region,Sales,ContingencySimilarity,0.843606163698219,,
48,Region,Quantity,ContingencySimilarity,0.8559135481288773,,
49,Region,Discount,ContingencySimilarity,0.7951771062637583,,
50,Region,Profit,ContingencySimilarity,0.8323994396637983,,
51,Category,Sub-Category,ContingencySimilarity,0.42525515309185513,,
52,Category,Sales,ContingencySimilarity,0.6973183910346208,,
53,Category,Quantity,ContingencySimilarity,0.7503502101260757,,
54,Category,Discount,ContingencySimilarity,0.6826095657394438,,
55,Category,Profit,ContingencySimilarity,0.7056233740244147,,
56,Sub-Category,Sales,ContingencySimilarity,0.6176706023614169,,
57,Sub-Category,Quantity,ContingencySimilarity,0.7336401841104663,,
58,Sub-Category,Discount,ContingencySimilarity,0.6436862117270362,,
59,Sub-Category,Profit,ContingencySimilarity,0.6907144286571943,,
60,Sales,Quantity,ContingencySimilarity,0.8218931358815289,,
61,Sales,Discount,ContingencySimilarity,0.8178907344406644,,
62,Sales,Profit,ContingencySimilarity,0.7487492495497299,,
63,Quantity,Discount,ContingencySimilarity,0.8780268160896538,,
64,Quantity,Profit,ContingencySimilarity,0.8283970382229338,,
65,Discount,Profit,ContingencySimilarity,0.827796678006804,,
