,Column,Metric,Score
0,Ship Mode,TVComplement,0.8820292175305183
1,Segment,TVComplement,0.929157494496698
2,Country,TVComplement,1.0
3,State,KSComplement,0.8843305983590154
4,Postal Code,KSComplement,0.9214528717230338
5,Region,TVComplement,0.9562737642585551
6,Category,TVComplement,0.975685411246748
7,Sub-Category,KSComplement,0.8663197918751251
8,Sales,TVComplement,0.8188913348008805
9,Quantity,TVComplement,0.873824294576746
10,Discount,TVComplement,0.9046427856714029
11,Profit,TVComplement,0.8925355213127877
