,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation
0,Ship Mode,Segment,ContingencySimilarity,0.6678006804082449,,
1,Ship Mode,Country,ContingencySimilarity,0.6720032019211527,,
2,Ship Mode,State,ContingencySimilarity,0.6202721632979789,,
3,Ship Mode,Postal Code,ContingencySimilarity,0.6152691614968981,,
4,Ship Mode,Region,ContingencySimilarity,0.6720032019211527,,
5,Ship Mode,Category,ContingencySimilarity,0.593856313788273,,
6,Ship Mode,Sub-Category,ContingencySimilarity,0.5524314588753252,,
7,Ship Mode,Sales,ContingencySimilarity,0.6361817090254152,,
8,Ship Mode,Quantity,ContingencySimilarity,0.538523113868321,,
9,Ship Mode,Discount,ContingencySimilarity,0.4534720832499499,,
10,Ship Mode,Profit,ContingencySimilarity,0.6717030218130879,,
11,Segment,Country,ContingencySimilarity,0.8474084450670403,,
12,Segment,State,ContingencySimilarity,0.7322393436061637,,
13,Segment,Postal Code,ContingencySimilarity,0.7127276365819492,,
14,Segment,Region,ContingencySimilarity,0.8281969181508906,,
15,Segment,Category,ContingencySimilarity,0.6464878927356414,,
16,Segment,Sub-Category,ContingencySimilarity,0.6263758254952972,,
17,Segment,Sales,ContingencySimilarity,0.7651590954572745,,
18,Segment,Quantity,ContingencySimilarity,0.6092655593356013,,
19,Segment,Discount,ContingencySimilarity,0.49149489693816284,,
20,Segment,Profit,ContingencySimilarity,0.8471082649589754,,
21,Country,State,ContingencySimilarity,0.7697618571142686,,
22,Country,Postal Code,ContingencySimilarity,0.7405443265959576,,
23,Country,Region,ContingencySimilarity,0.9119471683009805,,
24,Country,Category,ContingencySimilarity,0.6464878927356413,,
25,Country,Sub-Category,ContingencySimilarity,0.6624974984990994,,
26,Country,Sales,ContingencySimilarity,0.8432059235541325,,
27,Country,Quantity,ContingencySimilarity,0.6233740244146487,,
28,Country,Discount,ContingencySimilarity,0.5043025815489293,,
29,Country,Profit,ContingencySimilarity,0.9987992795677407,,
30,State,Postal Code,CorrelationSimilarity,0.8488381820327217,-0.0012135687663545902,-0.3035372047009113
31,State,Region,ContingencySimilarity,0.4134480688413048,,
32,State,Category,ContingencySimilarity,0.6052631578947368,,
33,State,Sub-Category,CorrelationSimilarity,0.9992276343583661,-0.0005165291241676102,-0.002061260407435283
34,State,Sales,ContingencySimilarity,0.6961176706023615,,
35,State,Quantity,ContingencySimilarity,0.5691414848909345,,
36,State,Discount,ContingencySimilarity,0.3941364818891335,,
37,State,Profit,ContingencySimilarity,0.7616569941965179,,
38,Postal Code,Region,ContingencySimilarity,0.3549129477686612,,
39,Postal Code,Category,ContingencySimilarity,0.612467480488293,,
40,Postal Code,Sub-Category,CorrelationSimilarity,0.9986748001399796,-0.005697319262236666,-0.003046919542195804
41,Postal Code,Sales,ContingencySimilarity,0.6891134680808485,,
42,Postal Code,Quantity,ContingencySimilarity,0.5656393836301781,,
43,Postal Code,Discount,ContingencySimilarity,0.41514908945367224,,
44,Postal Code,Profit,ContingencySimilarity,0.7352411446868121,,
45,Region,Category,ContingencySimilarity,0.6464878927356413,,
46,Region,Sub-Category,ContingencySimilarity,0.6486892135281168,,
47,Region,Sales,ContingencySimilarity,0.8023814288573144,,
48,Region,Quantity,ContingencySimilarity,0.6193716229737843,,
49,Region,Discount,ContingencySimilarity,0.4785871522913747,,
50,Region,Profit,ContingencySimilarity,0.9072443466079648,,
51,Category,Sub-Category,ContingencySimilarity,0.34150490294176516,,
52,Category,Sales,ContingencySimilarity,0.5967580548328997,,
53,Category,Quantity,ContingencySimilarity,0.5564338603161897,,
54,Category,Discount,ContingencySimilarity,0.42115269161496904,,
55,Category,Profit,ContingencySimilarity,0.6427856714028417,,
56,Sub-Category,Sales,ContingencySimilarity,0.5525315189113469,,
57,Sub-Category,Quantity,ContingencySimilarity,0.5110066039623774,,
58,Sub-Category,Discount,ContingencySimilarity,0.3730238142885731,,
59,Sub-Category,Profit,ContingencySimilarity,0.6439863918351012,,
60,Sales,Quantity,ContingencySimilarity,0.5560336201721033,,
61,Sales,Discount,ContingencySimilarity,0.4465679407644587,,
62,Sales,Profit,ContingencySimilarity,0.8185911546928157,,
63,Quantity,Discount,ContingencySimilarity,0.39293576145687414,,
64,Quantity,Profit,ContingencySimilarity,0.6193716229737842,,
65,Discount,Profit,ContingencySimilarity,0.4997998799279568,,
