,Column,Metric,Score
0,Ship Mode,TVComplement,0.7233340004002402
1,Segment,TVComplement,0.8476085651390834
2,Country,TVComplement,1.0
3,State,KSComplement,0.9129477686611968
4,Postal Code,KSComplement,0.879527716629978
5,Region,TVComplement,0.9325595357214329
6,Category,TVComplement,0.7908745247148289
7,Sub-Category,KSComplement,0.8741244746848109
8,Sales,TVComplement,0.7009205523313988
9,Quantity,TVComplement,0.7286371823093857
10,Discount,TVComplement,0.8211927156293776
11,Profit,TVComplement,0.9971983189913949
