,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,f,y,c,f,c,f,c,n,w,e,c,y,k,p,b,p,w,o,e,k,a,g,p
1,b,y,n,f,c,f,c,n,p,t,?,k,k,b,b,p,w,o,l,n,y,p,p
2,k,s,y,t,a,f,c,b,h,e,c,k,f,e,e,p,w,o,e,n,s,g,e
3,b,g,p,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,m,p
4,k,y,c,f,s,a,c,n,y,e,c,k,y,c,c,p,w,t,n,w,c,d,p
5,f,y,b,f,c,f,c,n,k,e,b,k,k,p,p,p,w,o,e,k,c,l,p
6,c,g,w,f,f,f,c,b,p,e,b,s,f,w,e,p,w,o,f,h,v,m,p
7,f,y,y,t,l,f,w,b,p,e,r,f,f,y,y,p,y,o,e,k,a,g,e
8,x,s,p,f,a,f,c,b,w,e,?,y,y,p,g,p,w,o,p,k,c,l,e
9,f,y,y,t,a,f,c,b,k,e,r,f,f,e,e,p,w,o,e,k,s,p,e
10,k,y,y,f,p,f,c,b,p,t,?,k,k,p,b,p,w,o,l,n,y,p,p
11,k,y,w,t,n,a,c,b,o,e,c,y,k,o,o,p,n,o,p,b,n,m,e
12,f,y,b,f,y,f,w,b,p,e,?,s,f,w,g,p,w,t,f,w,y,g,e
13,b,f,p,f,f,f,c,n,b,e,?,y,y,p,p,p,w,o,e,w,v,p,p
14,x,s,w,f,f,f,c,n,e,e,e,y,k,y,y,p,y,n,e,w,v,g,p
15,f,f,w,f,a,f,c,n,n,e,?,s,k,g,w,p,w,o,p,u,c,w,e
16,k,y,c,f,m,f,w,b,y,e,c,k,y,c,c,p,w,o,n,w,c,d,p
17,x,y,y,t,l,f,w,b,p,e,r,f,s,y,y,p,y,o,e,k,a,g,e
18,x,y,y,f,n,f,w,b,y,e,r,y,y,g,w,p,w,o,p,y,v,g,e
19,f,s,w,f,y,f,c,n,b,e,b,k,k,e,w,p,w,n,e,w,v,m,p
20,b,s,y,t,p,f,c,n,n,e,b,k,y,p,n,p,w,o,e,k,c,l,p
21,b,y,e,t,l,f,c,b,g,e,c,y,k,p,p,p,w,o,p,k,n,m,e
22,x,y,y,f,c,f,c,b,u,e,r,s,f,w,p,p,w,o,f,n,y,p,e
23,x,f,g,f,n,f,c,b,h,t,e,k,k,p,p,p,w,o,l,k,v,u,e
24,f,s,b,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d,p
25,f,s,r,t,l,a,w,n,h,e,?,y,y,o,o,p,o,o,p,n,s,g,e
26,k,f,g,t,a,f,w,n,p,e,?,f,k,e,e,p,w,o,e,u,a,g,e
