,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,x,s,g,f,n,f,c,b,h,e,?,s,s,o,g,p,w,o,p,k,s,g,e
1,x,s,n,f,s,f,c,b,w,t,?,k,s,o,w,p,w,o,e,w,v,l,p
2,k,y,n,f,n,f,c,b,n,e,?,s,s,w,w,p,w,n,p,k,y,l,e
3,x,s,e,f,f,f,c,b,b,t,?,s,s,o,p,p,w,o,p,w,y,w,e
4,b,f,n,f,n,f,c,b,b,e,b,f,s,w,p,p,w,o,e,k,y,l,e
5,x,s,n,f,m,f,c,b,k,t,b,s,k,p,p,p,w,o,p,w,v,l,e
6,f,f,n,t,n,f,w,n,p,e,b,k,k,w,w,p,w,o,p,w,y,l,e
7,f,f,w,t,n,f,c,n,n,t,?,s,y,p,p,p,w,o,l,k,v,l,p
8,x,s,n,t,n,f,w,b,p,t,b,s,f,w,p,p,w,o,p,h,a,g,e
9,x,f,n,t,f,f,c,b,p,t,?,s,f,w,w,p,w,o,p,n,v,g,e
10,x,s,n,t,f,f,c,n,p,t,?,s,s,n,w,p,w,t,e,h,n,g,e
11,x,y,w,t,n,f,c,b,p,t,e,k,k,p,n,p,w,o,p,w,v,u,e
12,x,s,n,f,s,f,c,b,n,e,b,s,s,w,w,p,w,o,e,n,v,g,p
13,f,y,y,f,f,f,w,b,b,t,?,k,k,p,g,p,w,o,e,k,y,g,e
14,x,s,n,t,n,f,c,n,u,e,?,s,k,c,p,p,w,o,e,h,v,m,p
15,f,s,n,f,n,f,c,n,b,t,b,k,s,w,w,p,w,o,p,w,c,g,e
16,x,s,g,t,n,f,c,b,p,e,e,s,f,w,p,p,n,o,p,k,v,g,e
17,k,y,w,f,n,f,c,b,g,t,c,k,k,n,w,p,w,o,e,w,y,g,e
18,x,y,w,f,n,f,w,b,r,e,?,s,k,w,w,p,w,o,e,w,a,g,p
19,x,s,n,f,n,f,c,b,b,e,b,k,s,e,w,p,w,o,l,h,v,d,p
20,x,y,g,t,f,f,w,n,p,e,b,s,y,p,p,p,w,o,p,w,s,g,p
21,k,s,y,f,l,a,c,b,b,t,b,s,f,w,e,p,w,o,p,k,n,l,p
22,f,y,w,f,n,f,c,b,r,t,?,k,s,p,g,p,o,o,e,w,c,g,p
23,x,y,e,t,f,f,c,b,p,e,e,k,s,w,n,p,w,o,p,k,c,g,p
24,b,s,g,t,n,f,c,b,h,e,?,s,s,g,w,p,w,o,e,w,s,w,p
25,b,y,n,t,n,f,c,n,p,t,?,s,s,g,w,p,w,o,p,h,v,p,p
26,f,f,n,f,f,f,c,b,b,t,?,s,s,b,w,p,w,o,e,k,s,p,p
27,f,s,y,f,n,f,c,b,p,t,b,s,f,o,c,p,w,o,p,k,s,l,p
28,f,f,g,f,n,f,c,b,k,t,?,s,s,p,w,p,w,o,p,w,c,d,e
29,f,s,e,f,f,f,c,b,n,e,?,s,s,w,g,p,w,o,e,w,c,d,e
30,x,f,y,t,f,f,w,b,p,t,r,k,s,w,p,p,w,t,p,h,a,g,p
31,x,f,n,t,y,f,c,b,n,t,?,s,y,w,g,p,w,o,p,h,n,d,p
32,x,s,y,f,n,f,c,b,n,e,?,k,k,w,w,p,w,o,e,b,v,u,p
33,x,s,n,f,n,f,c,b,w,t,c,s,s,c,w,p,w,o,p,y,a,l,p
34,x,y,n,f,c,f,c,n,p,t,b,f,s,w,y,p,w,o,p,w,c,l,e
35,f,s,p,t,n,f,c,b,r,t,c,s,s,c,g,p,y,o,e,w,v,m,e
36,x,s,n,f,n,f,w,n,b,t,b,s,s,c,w,p,w,o,p,h,v,g,p
37,x,s,w,f,n,f,c,b,p,e,b,k,y,w,b,p,w,o,p,w,v,l,e
38,s,f,n,t,n,f,w,b,b,e,?,s,s,b,c,p,w,o,p,w,y,d,p
39,x,s,y,f,n,f,c,b,p,e,b,k,s,o,w,p,y,t,e,w,c,d,p
40,x,s,n,f,c,f,c,b,b,t,c,s,s,p,w,p,w,t,p,h,s,g,e
41,x,s,w,t,l,a,c,n,u,t,b,s,s,p,w,p,w,o,p,w,a,d,e
42,x,f,e,t,n,a,w,n,u,t,?,s,s,p,n,p,w,o,p,h,a,p,e
43,k,s,e,f,n,f,w,b,p,t,b,s,k,p,w,p,w,o,e,n,v,d,p
44,x,y,n,t,n,f,c,b,p,e,e,s,s,e,w,p,w,o,p,w,v,d,p
45,x,f,e,f,n,f,c,n,k,e,b,s,k,w,n,p,w,o,p,h,v,d,p
46,f,y,y,t,c,f,c,b,b,t,b,k,s,w,w,p,w,o,p,w,s,d,e
47,x,f,w,f,f,f,c,n,k,t,?,f,k,w,w,p,w,o,p,w,v,g,e
48,x,s,n,t,m,f,c,n,b,e,c,k,s,w,p,p,w,o,p,w,v,g,e
49,x,f,n,f,m,f,c,n,h,t,b,k,k,p,w,p,w,o,n,n,s,g,e
50,x,y,n,f,n,f,c,n,n,e,b,s,s,o,g,p,w,o,p,w,n,g,p
51,f,y,e,t,n,f,c,b,p,t,b,s,k,p,p,p,w,o,e,o,s,w,p
52,f,s,n,f,n,f,w,n,n,e,?,s,s,b,n,p,w,o,p,w,v,g,p
53,x,y,n,f,n,f,c,b,b,t,?,f,s,b,b,p,w,o,p,w,v,d,e
54,x,s,n,t,f,f,w,b,p,t,c,s,s,p,w,p,w,o,p,w,v,p,p
55,f,s,n,f,n,f,c,n,y,e,?,s,s,e,w,p,w,n,p,w,y,l,p
56,f,s,w,f,n,f,c,b,p,e,b,s,s,w,p,p,w,o,p,k,v,w,e
57,x,y,y,t,n,a,c,b,w,e,c,s,k,w,o,p,w,o,p,k,y,d,p
58,f,y,p,t,f,f,c,b,h,t,e,k,k,c,p,p,w,o,e,w,c,g,e
59,f,y,n,f,a,a,c,b,h,t,?,s,s,c,w,p,w,o,p,k,s,d,e
60,k,s,b,f,n,f,c,b,w,e,?,s,s,w,w,p,w,o,p,w,c,g,e
61,x,y,y,t,n,f,w,b,n,t,?,k,s,p,g,p,w,o,p,o,v,g,p
62,k,f,e,f,n,a,w,b,p,t,?,s,s,g,w,p,w,o,e,w,v,g,p
63,x,g,y,f,n,f,c,b,p,t,?,s,k,g,w,p,w,t,e,k,v,d,e
64,b,f,n,f,l,f,c,n,p,t,?,s,s,n,w,p,w,o,p,w,v,g,p
65,x,s,w,f,n,f,w,b,n,e,?,k,s,c,w,p,w,o,p,b,y,d,e
66,x,y,y,f,m,f,w,n,p,t,?,s,s,w,w,p,w,o,l,w,n,m,p
67,f,s,n,t,n,f,w,b,p,e,?,s,s,p,p,p,w,o,p,k,v,p,p
68,x,y,g,f,n,f,c,n,n,t,?,k,s,c,w,p,w,o,p,h,v,g,p
69,x,s,n,f,n,f,c,n,p,t,?,s,s,n,b,p,w,o,e,h,v,g,e
70,f,f,w,f,f,f,w,n,w,t,b,s,y,w,c,p,w,o,p,w,s,g,p
71,f,s,y,t,a,f,c,b,n,t,e,s,s,w,w,p,w,o,p,w,s,g,e
72,f,y,y,f,f,f,c,b,u,t,b,s,k,w,w,p,w,t,l,k,c,p,e
73,x,s,n,f,n,f,c,b,k,e,e,k,k,w,p,p,w,o,p,w,y,g,p
74,x,f,g,t,f,f,c,b,w,e,b,s,s,w,w,p,w,t,e,w,v,g,e
75,b,s,y,f,n,f,c,b,u,e,e,s,s,n,y,p,w,o,p,k,y,d,e
76,f,y,y,t,f,f,c,b,p,e,b,s,k,w,w,p,w,o,p,n,v,d,e
77,x,s,w,f,n,f,c,n,n,e,b,s,s,e,p,p,w,n,p,w,y,p,e
78,x,s,n,t,f,f,c,b,p,t,r,s,s,b,p,p,w,o,p,h,v,u,p
79,b,s,y,t,s,f,w,n,n,t,r,s,k,p,b,p,w,o,p,w,v,g,p
80,x,s,n,f,n,f,c,b,h,t,b,k,f,p,b,p,w,o,e,w,s,u,e
81,b,s,n,t,n,f,c,b,p,e,?,s,s,g,w,p,w,o,p,k,v,g,e
82,s,s,g,f,n,a,c,b,r,e,b,s,f,p,c,p,w,o,l,k,y,d,e
83,x,f,y,t,y,f,c,n,w,t,?,k,s,w,e,p,w,o,e,k,n,g,p
84,k,y,p,f,n,f,w,b,p,e,?,s,s,w,w,p,w,o,l,w,n,g,e
85,x,s,y,t,f,f,w,b,k,e,?,k,k,w,w,p,w,o,p,w,v,d,p
86,f,y,n,f,f,a,c,b,b,e,?,s,k,o,w,p,w,o,p,k,v,d,e
87,x,s,w,f,f,f,c,n,k,t,b,k,k,b,w,p,w,o,l,w,n,d,p
88,f,f,w,f,n,f,w,n,b,t,?,s,s,n,p,p,w,o,p,h,y,g,e
89,b,s,e,f,n,f,w,b,p,t,c,k,s,w,o,p,w,o,l,n,v,u,p
90,x,f,n,f,a,f,c,b,b,e,b,s,y,w,b,p,w,o,p,w,v,d,e
91,f,y,n,f,y,f,c,n,n,e,?,s,k,w,w,p,w,o,p,k,y,d,e
92,f,s,y,t,n,f,c,b,k,e,?,k,k,w,w,p,w,o,e,w,v,d,p
93,x,s,n,f,s,f,w,b,u,e,?,s,s,w,w,p,w,o,e,h,c,l,p
94,x,f,w,t,n,a,c,b,p,t,?,s,k,n,w,p,w,o,p,k,v,g,e
95,x,f,w,f,l,f,w,n,h,e,?,k,y,o,w,p,w,o,p,w,c,p,p
96,f,s,y,f,n,f,w,b,p,e,b,s,s,p,w,p,w,t,p,k,v,g,p
97,x,s,w,t,n,f,w,b,k,e,b,f,s,w,g,p,w,o,p,w,n,g,p
98,f,y,y,f,f,f,w,b,p,e,?,s,s,w,w,p,w,o,p,k,v,m,e
99,f,y,w,f,n,f,c,b,w,t,b,k,f,w,p,p,w,o,p,n,v,m,p
100,b,s,e,f,n,f,c,b,p,t,b,s,s,c,w,p,w,t,p,w,n,p,e
101,x,s,n,f,a,f,w,b,h,e,?,f,s,e,w,p,w,o,p,w,n,g,e
102,k,s,n,t,n,a,c,b,p,e,b,k,s,o,w,p,w,o,p,w,c,d,e
103,f,s,n,f,l,f,c,b,w,t,b,s,k,g,p,p,w,o,p,w,v,l,e
104,x,f,n,t,n,f,c,n,p,t,?,s,s,w,g,p,w,o,p,w,v,p,p
105,f,s,p,f,m,a,w,b,p,t,b,s,s,w,w,p,w,o,l,w,v,w,p
106,k,f,n,t,n,f,c,b,p,t,b,s,y,c,w,p,w,o,p,w,c,g,e
107,x,s,e,f,f,f,w,b,p,t,?,s,k,w,w,p,w,o,p,w,v,g,e
108,x,s,n,t,n,f,c,n,p,t,b,s,k,w,p,p,w,o,e,k,c,l,e
109,x,s,y,t,l,f,c,b,b,e,b,s,s,w,e,p,w,o,p,n,y,p,e
110,f,y,w,f,n,f,c,b,b,t,?,s,y,p,w,p,w,o,e,w,c,g,e
111,x,s,y,f,n,f,c,n,h,e,b,s,s,o,o,p,w,o,e,w,v,d,e
112,x,y,y,f,n,f,c,b,n,e,c,s,s,w,p,p,w,o,p,n,s,p,p
113,x,f,n,f,n,f,c,n,n,t,c,s,y,o,p,p,n,o,p,n,v,g,p
114,x,s,n,f,f,f,c,b,p,e,?,s,s,p,n,p,w,o,p,w,y,g,e
115,x,s,w,t,n,f,c,b,n,e,c,k,s,w,c,p,w,o,p,h,v,g,e
116,x,s,n,f,n,f,c,b,h,t,?,k,s,w,w,p,w,o,p,w,v,p,e
117,x,y,y,f,n,a,w,b,h,e,?,s,s,o,w,p,w,o,p,w,n,g,p
118,f,y,p,f,p,f,c,b,g,t,?,s,s,w,g,p,w,o,e,w,v,g,p
119,k,s,b,f,f,f,c,b,h,t,c,s,s,o,g,p,w,o,p,n,v,g,e
120,x,f,n,t,f,f,c,b,n,t,?,s,y,p,w,p,w,o,p,w,v,l,p
121,b,y,g,f,n,f,c,b,o,t,?,s,s,p,w,p,w,o,p,h,v,p,e
122,f,y,y,f,f,f,w,b,p,t,?,s,y,e,n,p,w,o,p,w,n,d,p
123,f,f,e,t,n,f,w,b,p,t,e,f,s,b,p,p,o,o,p,w,c,p,p
124,x,s,n,f,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,h,y,g,p
